ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"12 ALBION STREET, ANNANDALE NSW 2038","825000","7 November 2013","174.79","NON STRATA","No",1912836,"AI312656","30 April 2017"
"14 ALBION STREET, ANNANDALE NSW 2038","942500","15 March 2013","174.79","NON STRATA","No",1912837,"AH769077","30 April 2017"
"18 ALBION STREET, ANNANDALE NSW 2038","1410000","30 November 2016","174.79","NON STRATA","No",1912839,"AM254787","30 April 2017"
"44 ALBION STREET, ANNANDALE NSW 2038","1300000","11 July 2014","202.3","NON STRATA","No",1912849,"AI841241","30 April 2017"
"46 ALBION STREET, ANNANDALE NSW 2038","247000","6 August 2012","163","NON STRATA","No",1912850,"AH168185","30 April 2017"
"48 ALBION STREET, ANNANDALE NSW 2038","985000","30 April 2013","254.5","NON STRATA","No",1912851,"AH811500","30 April 2017"
"52 ALBION STREET, ANNANDALE NSW 2038","1245000","10 December 2016","107.9","NON STRATA","No",1912855,"AM192528","30 April 2017"
"84 ALBION STREET, ANNANDALE NSW 2038","2426000","7 November 2015","240.3","NON STRATA","No",1912869,"AK160639","30 April 2017"
"84 ALBION STREET, ANNANDALE NSW 2038","1250000","16 November 2013","240.3","NON STRATA","No",1912869,"AI425972","30 April 2017"
"94 ALBION STREET, ANNANDALE NSW 2038","1650000","5 December 2013","252.9","NON STRATA","No",1912874,"AI304792","30 April 2017"
"100 ALBION STREET, ANNANDALE NSW 2038","2800000","26 November 2015","417.332","NON STRATA","No",1912877,"AK152729","30 April 2017"
"120 ALBION STREET, ANNANDALE NSW 2038","600000","10 April 2015","202.3","NON STRATA","No",1912888,"AJ671917","30 April 2017"
"124 ALBION STREET, ANNANDALE NSW 2038","1980000","14 October 2015","202.3","NON STRATA","No",1912890,"AK71820","30 April 2017"
"140 ALBION STREET, ANNANDALE NSW 2038","1300000","3 May 2014","170.7","NON STRATA","No",1912897,"AI652576","30 April 2017"
"140 ALBION STREET, ANNANDALE NSW 2038","953000","23 March 2013","170.7","NON STRATA","No",1912897,"AH729944","30 April 2017"
"142 ALBION STREET, ANNANDALE NSW 2038","1425000","23 February 2017","126.5","NON STRATA","No",1912898,"AM317461","30 April 2017"
"144 ALBION STREET, ANNANDALE NSW 2038","1170000","15 September 2016","120.1","NON STRATA","No",1912899,"AM31843","30 April 2017"
"160 ALBION STREET, ANNANDALE NSW 2038","1220000","19 September 2015","154.91","NON STRATA","No",1912907,"AJ967351","30 April 2017"
"160 ALBION STREET, ANNANDALE NSW 2038","773000","11 January 2013","154.91","NON STRATA","No",1912907,"AH555269","30 April 2017"
"162 ALBION STREET, ANNANDALE NSW 2038","760000","5 May 2012","150.95","NON STRATA","No",1912908,"AH110392","30 April 2017"
"164 ALBION STREET, ANNANDALE NSW 2038","1470000","28 May 2016","302","NON STRATA","No",1912909,"AK632026","30 April 2017"
"174 ALBION STREET, ANNANDALE NSW 2038","925000","21 June 2014","189.6","NON STRATA","No",1912914,"AI826889","30 April 2017"
"188 ALBION STREET, ANNANDALE NSW 2038","1000000","27 August 2014","145.4","NON STRATA","No",1912919,"AI966985","30 April 2017"
"206 ALBION STREET, ANNANDALE NSW 2038","1065000","9 May 2016","126.5","NON STRATA","No",1912928,"AK570790","30 April 2017"
"121 ALBION STREET, ANNANDALE NSW 2038","795000","5 May 2014","52.2","NON STRATA","No",1912935,"AI609873","30 April 2017"
"121 ALBION STREET, ANNANDALE NSW 2038","590000","18 August 2012","52.2","NON STRATA","No",1912935,"AH305394","30 April 2017"
"113 ALBION STREET, ANNANDALE NSW 2038","1270000","10 November 2015","94.8","NON STRATA","No",1912939,"AK105320","30 April 2017"
"111 ALBION STREET, ANNANDALE NSW 2038","1239500","4 December 2014","107.5","NON STRATA","No",1912940,"AJ210455","30 April 2017"
"109 ALBION STREET, ANNANDALE NSW 2038","1270000","25 September 2015","145.4","NON STRATA","No",1912941,"AJ965887","30 April 2017"
"109 ALBION STREET, ANNANDALE NSW 2038","1150000","14 October 2014","145.4","NON STRATA","No",1912941,"AJ93388","30 April 2017"
"109 ALBION STREET, ANNANDALE NSW 2038","860200","4 April 2014","145.4","NON STRATA","No",1912941,"AI620881","30 April 2017"
"99 ALBION STREET, ANNANDALE NSW 2038","1255000","28 October 2016","164.4","NON STRATA","No",1912946,"AM41760","30 April 2017"
"97 ALBION STREET, ANNANDALE NSW 2038","835000","28 March 2014","170.7","NON STRATA","No",1912947,"AI607254","30 April 2017"
"95 ALBION STREET, ANNANDALE NSW 2038","945000","18 June 2012","265.6","NON STRATA","No",1912948,"AH170301","30 April 2017"
"89 ALBION STREET, ANNANDALE NSW 2038","1350000","30 November 2016","196","NON STRATA","No",1912951,"AM108715","30 April 2017"
"79 ALBION STREET, ANNANDALE NSW 2038","880000","5 July 2012","240.3","NON STRATA","No",1912956,"AH176188","30 April 2017"
"75 ALBION STREET, ANNANDALE NSW 2038","955000","6 September 2014","265.5","NON STRATA","No",1912958,"AJ118087","30 April 2017"
"67 ALBION STREET, ANNANDALE NSW 2038","1370000","22 October 2016","101.2","NON STRATA","No",1912964,"AM10351","30 April 2017"
"65 ALBION STREET, ANNANDALE NSW 2038","1270000","20 September 2014","101.2","NON STRATA","No",1912965,"AI973708","30 April 2017"
"63 ALBION STREET, ANNANDALE NSW 2038","1325000","20 May 2013","240.2","NON STRATA","No",1912966,"AH860593","30 April 2017"
"51 ALBION STREET, ANNANDALE NSW 2038","696600","29 May 2012","246.6","NON STRATA","No",1912969,"AH114372","30 April 2017"
"49 ALBION STREET, ANNANDALE NSW 2038","1160000","30 July 2016","113.8","NON STRATA","No",1912970,"AK840927","30 April 2017"
"41 ALBION STREET, ANNANDALE NSW 2038","1044000","14 February 2015","145.4","NON STRATA","No",1912974,"AJ363937","30 April 2017"
"39 ALBION STREET, ANNANDALE NSW 2038","681000","3 May 2012","139.1","NON STRATA","No",1912975,"AH54841","30 April 2017"
"31 ALBION STREET, ANNANDALE NSW 2038","890000","31 May 2014","139.1","NON STRATA","No",1912979,"AI750559","30 April 2017"
"27 ALBION STREET, ANNANDALE NSW 2038","960000","20 September 2014","120.2","NON STRATA","No",1912981,"AJ48307","30 April 2017"
"25 ALBION STREET, ANNANDALE NSW 2038","952000","6 April 2013","183.4","NON STRATA","No",1912982,"AH868673","30 April 2017"
"3 ALFRED STREET, ANNANDALE NSW 2038","915000","23 June 2012","142.3","NON STRATA","No",1913059,"AH208461","30 April 2017"
"12/76A ALFRED STREET, ANNANDALE NSW 2038","250000","23 February 2015","0","STRATA","No","1913075","AJ300793","30 April 2017"
