ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"25 HICKSON ROAD, BARANGAROO NSW 2000","100000","28 June 2013","1968","NON STRATA","No",2037038,"AH845629","23 April 2017"
"401/31 BARANGAROO AVENUE, BARANGAROO NSW 2000","2900000","3 March 2017","0","STRATA","No","3890936","AM289380","23 April 2017"
"501/21 BARANGAROO AVENUE, BARANGAROO NSW 2000","3000000","7 February 2017","0","STRATA","No","3891026","AM259468","23 April 2017"
"702/17 BARANGAROO AVENUE, BARANGAROO NSW 2000","5500000","1 December 2016","0","STRATA","No","3891043","AM119063","23 April 2017"
"102/15 BARANGAROO AVENUE, BARANGAROO NSW 2000","1350000","2 November 2016","0","STRATA","No","3890970","AM113279","23 April 2017"
"601/27 BARANGAROO AVENUE, BARANGAROO NSW 2000","1675000","26 September 2016","0","STRATA","No","3890954","AM13094","23 April 2017"
"203/19 BARANGAROO AVENUE, BARANGAROO NSW 2000","1347000","30 June 2016","0","STRATA","No","3890989","AK790956","23 April 2017"
"901/15 BARANGAROO AVENUE, BARANGAROO NSW 2000","12500000","2 June 2016","0","STRATA","No","3890968","AK927059","23 April 2017"
"403/19 BARANGAROO AVENUE, BARANGAROO NSW 2000","1550000","27 May 2016","0","STRATA","No","3891013","AK604421","23 April 2017"
"602/15 BARANGAROO AVENUE, BARANGAROO NSW 2000","1450000","3 May 2016","0","STRATA","No","3891030","AK442617","23 April 2017"
"601/15 BARANGAROO AVENUE, BARANGAROO NSW 2000","3400000","28 April 2016","0","STRATA","No","3891029","AK637820","23 April 2017"
"102/25 BARANGAROO AVENUE, BARANGAROO NSW 2000","2500000","21 April 2016","0","STRATA","No","3890892","AK763089","23 April 2017"
"501/49 BARANGAROO AVENUE, BARANGAROO NSW 2000","1560000","4 April 2016","0","STRATA","No","3890939","AK425377","23 April 2017"
"101/27 BARANGAROO AVENUE, BARANGAROO NSW 2000","1380000","22 March 2016","0","STRATA","No","3890894","AK430783","23 April 2017"
"601/19 BARANGAROO AVENUE, BARANGAROO NSW 2000","3638000","9 March 2016","0","STRATA","No","3891034","AK382060","23 April 2017"
"401/21 BARANGAROO AVENUE, BARANGAROO NSW 2000","2788000","18 February 2016","0","STRATA","No","3891014","AK376587","23 April 2017"
"202/21 BARANGAROO AVENUE, BARANGAROO NSW 2000","1050000","5 February 2016","0","STRATA","No","3890991","AK326968","23 April 2017"
"402/27 BARANGAROO AVENUE, BARANGAROO NSW 2000","2525000","15 January 2016","0","STRATA","No","3890931","AK241729","23 April 2017"
"401/25 BARANGAROO AVENUE, BARANGAROO NSW 2000","1600000","24 December 2015","0","STRATA","No","3890927","AK261498","23 April 2017"
"202/31 BARANGAROO AVENUE, BARANGAROO NSW 2000","2410000","17 December 2015","0","STRATA","No","3890913","AK259489","23 April 2017"
"201/31 BARANGAROO AVENUE, BARANGAROO NSW 2000","2400000","14 December 2015","0","STRATA","No","3890912","AK151076","23 April 2017"
"603/29 BARANGAROO AVENUE, BARANGAROO NSW 2000","1500000","2 December 2015","0","STRATA","No","3890959","AK112823","23 April 2017"
"102/19 BARANGAROO AVENUE, BARANGAROO NSW 2000","2390000","27 November 2015","0","STRATA","No","3890976","AK235232","23 April 2017"
"603/31 BARANGAROO AVENUE, BARANGAROO NSW 2000","1500000","27 November 2015","0","STRATA","No","3890962","AK235372","23 April 2017"
"203/29 BARANGAROO AVENUE, BARANGAROO NSW 2000","1200000","25 November 2015","0","STRATA","No","3890911","AK98954","23 April 2017"
"303/33 BARANGAROO AVENUE, BARANGAROO NSW 2000","895000","13 October 2015","0","STRATA","No","3890923","AK93693","23 April 2017"
"103/15 BARANGAROO AVENUE, BARANGAROO NSW 2000","2500000","23 September 2015","0","STRATA","No","3890971","AK197085","23 April 2017"
"201/25 BARANGAROO AVENUE, BARANGAROO NSW 2000","1275000","15 September 2015","0","STRATA","No","3890903","AK78803","23 April 2017"
