ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"43 BEACONSFIELD STREET, BEACONSFIELD NSW 2015","1700000","2 August 2013","575.4","NON STRATA","No",2108085,"AI422436","23 April 2017"
"348 BOTANY ROAD, BEACONSFIELD NSW 2015","275940","15 March 2013","107.5","NON STRATA","No",2109651,"AH673178","23 April 2017"
"354 BOTANY ROAD, BEACONSFIELD NSW 2015","708000","12 July 2013","120.8","NON STRATA","No",2109654,"AH967515","23 April 2017"
"356 BOTANY ROAD, BEACONSFIELD NSW 2015","1100088","18 December 2013","113.8","NON STRATA","No",2109655,"AI440178","23 April 2017"
"378 BOTANY ROAD, BEACONSFIELD NSW 2015","600000","13 August 2012","278.6","NON STRATA","No",2109660,"AH197040","23 April 2017"
"396 BOTANY ROAD, BEACONSFIELD NSW 2015","690000","28 November 2012","132.8","NON STRATA","No",2109667,"AH555523","23 April 2017"
"408 BOTANY ROAD, BEACONSFIELD NSW 2015","2299000","10 July 2015","278.3","NON STRATA","No",2109671,"AK44680","23 April 2017"
"410 BOTANY ROAD, BEACONSFIELD NSW 2015","3250000","9 May 2013","771","NON STRATA","No",2109672,"AI21963","23 April 2017"
"428 BOTANY ROAD, BEACONSFIELD NSW 2015","907000","9 August 2014","142.99","NON STRATA","No",2109680,"AI920920","23 April 2017"
"438 BOTANY ROAD, BEACONSFIELD NSW 2015","610000","23 May 2012","113.92","NON STRATA","No",2109685,"AH202060","23 April 2017"
"448 BOTANY ROAD, BEACONSFIELD NSW 2015","3000000","26 July 2016","379.4","NON STRATA","No",2109689,"AK883411","23 April 2017"
"450 BOTANY ROAD, BEACONSFIELD NSW 2015","872000","6 December 2013","138.2","NON STRATA","No",2109690,"AI528538","23 April 2017"
"452 BOTANY ROAD, BEACONSFIELD NSW 2015","910000","29 January 2014","137.1","NON STRATA","No",2109691,"AI501138","23 April 2017"
"458 BOTANY ROAD, BEACONSFIELD NSW 2015","780000","20 December 2013","132.8","NON STRATA","No",2109694,"AI389171","23 April 2017"
"470 BOTANY ROAD, BEACONSFIELD NSW 2015","638000","7 February 2013","137.92","NON STRATA","No",2109700,"AH632972","23 April 2017"
"472 BOTANY ROAD, BEACONSFIELD NSW 2015","1131000","17 November 2015","142.54","NON STRATA","No",2109701,"AK198918","23 April 2017"
"474 BOTANY ROAD, BEACONSFIELD NSW 2015","670000","14 August 2013","139.1","NON STRATA","No",2109702,"AI57289","23 April 2017"
"476 BOTANY ROAD, BEACONSFIELD NSW 2015","675000","23 November 2012","140.66","NON STRATA","No",2109703,"AH509080","23 April 2017"
"478 BOTANY ROAD, BEACONSFIELD NSW 2015","725000","19 October 2012","133.8","NON STRATA","No",2109704,"AH416186","23 April 2017"
"484 BOTANY ROAD, BEACONSFIELD NSW 2015","992000","11 November 2014","141.7","NON STRATA","No",2109707,"AJ141584","23 April 2017"
"484 BOTANY ROAD, BEACONSFIELD NSW 2015","625000","20 July 2012","141.7","NON STRATA","No",2109707,"AH201920","23 April 2017"
"50/506 BOTANY ROAD, BEACONSFIELD NSW 2015","785000","1 November 2016","0","STRATA","No","2109764","AK990600","23 April 2017"
"50/506 BOTANY ROAD, BEACONSFIELD NSW 2015","662000","23 April 2014","0","STRATA","No","2109764","AI668352","23 April 2017"
"43/506 BOTANY ROAD, BEACONSFIELD NSW 2015","645000","24 January 2014","0","STRATA","No","2109757","AI444228","23 April 2017"
"40/506 BOTANY ROAD, BEACONSFIELD NSW 2015","495500","16 August 2013","0","STRATA","No","2109754","AI61377","23 April 2017"
"45/506 BOTANY ROAD, BEACONSFIELD NSW 2015","470000","17 October 2012","0","STRATA","No","2109759","AH410246","23 April 2017"
"11/506 BOTANY ROAD, BEACONSFIELD NSW 2015","485000","12 October 2012","0","STRATA","No","2109726","AH374580","23 April 2017"
"41/506 BOTANY ROAD, BEACONSFIELD NSW 2015","499000","5 July 2012","0","STRATA","No","2109755","AH191249","23 April 2017"
"3 COLLINS STREET, BEACONSFIELD NSW 2015","723000","19 December 2015","94.8","NON STRATA","No",2116399,"AK205751","23 April 2017"
"53 QUEEN STREET, BEACONSFIELD NSW 2015","1174000","10 May 2013","152.2","NON STRATA","No",2140884,"AH895361","23 April 2017"
"75A QUEEN STREET, BEACONSFIELD NSW 2015","350000","7 October 2014","158.1","NON STRATA","No",2140890,"AI955325","23 April 2017"
"91 QUEEN STREET, BEACONSFIELD NSW 2015","915000","20 July 2012","133.8","NON STRATA","No",2140897,"AH224062","23 April 2017"
"97 QUEEN STREET, BEACONSFIELD NSW 2015","1590000","19 September 2015","134","NON STRATA","No",2140900,"AJ975240","23 April 2017"
"16/101 QUEEN STREET, BEACONSFIELD NSW 2015","810000","29 June 2015","0","STRATA","No","2140918","AJ742984","23 April 2017"
"14/101 QUEEN STREET, BEACONSFIELD NSW 2015","680000","26 May 2012","0","STRATA","No","2140916","AH106954","23 April 2017"
"109 QUEEN STREET, BEACONSFIELD NSW 2015","1380000","16 February 2015","145.4","NON STRATA","No",2140923,"AJ484237","23 April 2017"
"123B QUEEN STREET, BEACONSFIELD NSW 2015","1170000","7 September 2013","121.1","NON STRATA","No",2140930,"AI118203","23 April 2017"
"123C QUEEN STREET, BEACONSFIELD NSW 2015","1420000","1 November 2014","127","NON STRATA","No",2140931,"AJ155554","23 April 2017"
"233 QUEEN STREET, BEACONSFIELD NSW 2015","1352000","24 September 2016","0","STRATA","No","2140947","AK924687","23 April 2017"
"25A BEACONSFIELD STREET, BEACONSFIELD NSW 2015","850000","19 April 2016","0","STRATA","No","2140960","AK519587","23 April 2017"
"231C QUEEN STREET, BEACONSFIELD NSW 2015","1170000","28 November 2015","0","STRATA","No","2140946","AK161171","23 April 2017"
"231A QUEEN STREET, BEACONSFIELD NSW 2015","970000","28 June 2014","0","STRATA","No","2140944","AI797054","23 April 2017"
"231 QUEEN STREET, BEACONSFIELD NSW 2015","920000","22 August 2013","0","STRATA","No","2140943","AI159658","23 April 2017"
"27 BEACONSFIELD STREET, BEACONSFIELD NSW 2015","891000","6 July 2013","0","STRATA","No","2140958","AH971943","23 April 2017"
"231B QUEEN STREET, BEACONSFIELD NSW 2015","841000","14 July 2012","0","STRATA","No","2140945","AH216090","23 April 2017"
"25A BEACONSFIELD STREET, BEACONSFIELD NSW 2015","600000","23 June 2012","0","STRATA","No","2140960","AH137614","23 April 2017"
"118 QUEEN STREET, BEACONSFIELD NSW 2015","3700000","23 March 2015","860","NON STRATA","No",2140966,"AJ539687","23 April 2017"
"1/32 QUEEN STREET, BEACONSFIELD NSW 2015","1301000","1 October 2016","0","STRATA","No","2140973","AK958376","23 April 2017"
"1/32 QUEEN STREET, BEACONSFIELD NSW 2015","910250","27 July 2015","0","STRATA","No","2140973","AJ786872","23 April 2017"
"4/32 QUEEN STREET, BEACONSFIELD NSW 2015","779000","20 December 2014","0","STRATA","No","2140976","AJ324726","23 April 2017"
"10/32 QUEEN STREET, BEACONSFIELD NSW 2015","812500","14 June 2014","0","STRATA","No","2140982","AI791507","23 April 2017"
"2/32 QUEEN STREET, BEACONSFIELD NSW 2015","780000","17 August 2013","0","STRATA","No","2140974","AI117590","23 April 2017"
