ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"1 CAHILL STREET, CAMPERDOWN NSW 2050","11000000","4 September 2014","379.4","NON STRATA","Yes (3)",1917133,"AK505126","23 April 2017"
"9/21 CHESTER STREET, CAMPERDOWN NSW 2050","862500","27 May 2015","0","STRATA","No","1918554","AJ643186","23 April 2017"
"4/21 CHESTER STREET, CAMPERDOWN NSW 2050","700000","25 March 2015","0","STRATA","No","1918549","AJ615457","23 April 2017"
"17 MATHIESON STREET, CAMPERDOWN NSW 2050","880000","20 July 2013","170.8","NON STRATA","No",1930674,"AI31377","23 April 2017"
"198 PARRAMATTA ROAD, CAMPERDOWN NSW 2050","3650000","5 August 2014","1106.6","NON STRATA","No",1933622,"AJ132409","23 April 2017"
"206 PARRAMATTA ROAD, CAMPERDOWN NSW 2050","4626000","14 December 2015","971","NON STRATA","No",1933623,"AK182566","23 April 2017"
"210 PARRAMATTA ROAD, CAMPERDOWN NSW 2050","11000000","4 September 2014","447.4","NON STRATA","Yes (3)",1933625,"AK505126","23 April 2017"
"212 PARRAMATTA ROAD, CAMPERDOWN NSW 2050","11000000","4 September 2014","1764","NON STRATA","Yes (3)",1933626,"AK505126","23 April 2017"
"63 PYRMONT BRIDGE ROAD, CAMPERDOWN NSW 2050","5200000","20 November 2013","2109.81","NON STRATA","No",1934389,"AI247910","23 April 2017"
"68 PYRMONT BRIDGE ROAD, CAMPERDOWN NSW 2050","1285000","22 August 2015","158.1","NON STRATA","No",1934408,"AJ887223","23 April 2017"
"66 PYRMONT BRIDGE ROAD, CAMPERDOWN NSW 2050","1640000","20 May 2016","158.1","NON STRATA","No",1934409,"AK614949","23 April 2017"
"10 WATER STREET, CAMPERDOWN NSW 2050","826000","22 March 2014","177","NON STRATA","No",1939176,"AI571335","23 April 2017"
"6 WATER STREET, CAMPERDOWN NSW 2050","980000","6 June 2015","148.7","NON STRATA","No",1939178,"AJ716885","23 April 2017"
"4/16 AUSTRALIA STREET, CAMPERDOWN NSW 2050","825000","6 August 2016","0","STRATA","No","1942934","AK748811","23 April 2017"
"6/16 AUSTRALIA STREET, CAMPERDOWN NSW 2050","755000","1 December 2014","0","STRATA","No","1942936","AJ215896","23 April 2017"
"18/16 AUSTRALIA STREET, CAMPERDOWN NSW 2050","750000","14 November 2014","0","STRATA","No","1942948","AJ215084","23 April 2017"
"28 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1350000","13 December 2016","126.5","NON STRATA","No",1942956,"AM20897","23 April 2017"
"44 AUSTRALIA STREET, CAMPERDOWN NSW 2050","5750000","11 August 2015","878.9","NON STRATA","No",1942965,"AJ906789","23 April 2017"
"44 AUSTRALIA STREET, CAMPERDOWN NSW 2050","4300000","2 October 2014","878.9","NON STRATA","No",1942965,"AJ466573","23 April 2017"
"52 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1540000","13 August 2016","223.14","NON STRATA","No",1942966,"AK959858","23 April 2017"
"62 AUSTRALIA STREET, CAMPERDOWN NSW 2050","660000","2 July 2012","194.7","NON STRATA","No",1942970,"AH100360","23 April 2017"
"7/64 AUSTRALIA STREET, CAMPERDOWN NSW 2050","432000","30 August 2014","0","STRATA","No","1942977","AI950101","23 April 2017"
"76 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1200000","26 October 2016","126.5","NON STRATA","No",1942987,"AK970401","23 April 2017"
"90 AUSTRALIA STREET, CAMPERDOWN NSW 2050","2725000","3 December 2016","164.4","NON STRATA","No",1942993,"AM214797","23 April 2017"
"90 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1001000","25 August 2012","164.4","NON STRATA","No",1942993,"AH498794","23 April 2017"
"98 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1520000","10 December 2016","125.7","NON STRATA","No",1942997,"AM95817","23 April 2017"
"102 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1201234","12 September 2016","120.1","NON STRATA","No",1942999,"AK892116","23 April 2017"
"106 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1355000","23 April 2016","120.1","NON STRATA","No",1943001,"AK501357","23 April 2017"
"12/163 AUSTRALIA STREET, CAMPERDOWN NSW 2050","500000","21 November 2016","0","STRATA","No","1943126","AM58973","23 April 2017"
"11/163 AUSTRALIA STREET, CAMPERDOWN NSW 2050","312000","5 December 2012","0","STRATA","No","1943125","AH505283","23 April 2017"
"161 AUSTRALIA STREET, CAMPERDOWN NSW 2050","790000","11 August 2012","139.1","NON STRATA","No",1943130,"AH272752","23 April 2017"
"155 AUSTRALIA STREET, CAMPERDOWN NSW 2050","930000","12 May 2014","154.4","NON STRATA","No",1943133,"AI710825","23 April 2017"
"151 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1750000","14 March 2015","170.7","NON STRATA","No",1943135,"AJ567745","23 April 2017"
"131 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1475000","30 May 2015","129.4","NON STRATA","No",1943149,"AJ697815","23 April 2017"
"111 AUSTRALIA STREET, CAMPERDOWN NSW 2050","950000","9 September 2015","120.1","NON STRATA","No",1943159,"AJ970217","23 April 2017"
"101 AUSTRALIA STREET, CAMPERDOWN NSW 2050","2475000","23 July 2015","240.2","NON STRATA","No",1943164,"AK210129","23 April 2017"
"95 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1320000","12 November 2016","125.7","NON STRATA","No",1943165,"AM69015","23 April 2017"
"91 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1020000","27 July 2012","126.5","NON STRATA","No",1943167,"AH252195","23 April 2017"
"87 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1352500","24 February 2016","126.5","NON STRATA","No",1943169,"AK362660","23 April 2017"
"81 AUSTRALIA STREET, CAMPERDOWN NSW 2050","1970000","24 September 2016","139.1","NON STRATA","No",1943172,"AK927212","23 April 2017"
"55 AUSTRALIA STREET, CAMPERDOWN NSW 2050","720000","28 September 2012","","NON STRATA","No",1943183,"AH403750","23 April 2017"
"6/47 AUSTRALIA STREET, CAMPERDOWN NSW 2050","635000","19 November 2016","0","STRATA","No","1943192","AM105687","23 April 2017"
"6/47 AUSTRALIA STREET, CAMPERDOWN NSW 2050","458000","6 December 2014","0","STRATA","No","1943192","AJ256950","23 April 2017"
"8 BISHOPGATE STREET, CAMPERDOWN NSW 2050","750000","20 June 2013","79.2","NON STRATA","No",1943978,"AH919721","23 April 2017"
"10 BISHOPGATE STREET, CAMPERDOWN NSW 2050","970000","18 October 2014","86.2","NON STRATA","No",1943979,"AJ96058","23 April 2017"
"30 BISHOPGATE STREET, CAMPERDOWN NSW 2050","835000","28 March 2013","113.8","NON STRATA","No",1943989,"AH751200","23 April 2017"
"34 BISHOPGATE STREET, CAMPERDOWN NSW 2050","1015000","21 February 2015","113.8","NON STRATA","No",1943991,"AJ884958","23 April 2017"
"36A BISHOPGATE STREET, CAMPERDOWN NSW 2050","1600000","8 May 2012","237.5","NON STRATA","No",1943993,"AH189805","23 April 2017"
"38 BISHOPGATE STREET, CAMPERDOWN NSW 2050","1160000","13 June 2013","178.3","NON STRATA","No",1943994,"AI227215","23 April 2017"
"40 BISHOPGATE STREET, CAMPERDOWN NSW 2050","1371000","26 July 2014","199.2","NON STRATA","No",1943995,"AI890052","23 April 2017"
"42 BISHOPGATE STREET, CAMPERDOWN NSW 2050","930000","4 June 2014","69.6","NON STRATA","No",1943996,"AI753774","23 April 2017"
"10 CHELMSFORD STREET, CAMPERDOWN NSW 2050","900000","5 December 2012","94.8","NON STRATA","No",1946208,"AH532699","23 April 2017"
"16 CHELMSFORD STREET, CAMPERDOWN NSW 2050","745000","15 January 2013","94.8","NON STRATA","No",1946211,"AH561374","23 April 2017"
"181 CHURCH STREET, CAMPERDOWN NSW 2050","725000","1 September 2012","120.83","NON STRATA","No",1946410,"AH312613","23 April 2017"
"169 CHURCH STREET, CAMPERDOWN NSW 2050","878000","19 April 2016","82.2","NON STRATA","No",1946414,"AK492755","23 April 2017"
"52 DENISON STREET, CAMPERDOWN NSW 2050","2050000","22 June 2016","235.5","NON STRATA","No",1948230,"AK786708","23 April 2017"
"68 DENISON STREET, CAMPERDOWN NSW 2050","860000","3 September 2013","126.5","NON STRATA","No",1948235,"AI164094","23 April 2017"
"70 DENISON STREET, CAMPERDOWN NSW 2050","1230000","15 October 2016","128.16","NON STRATA","No",1948236,"AM13535","23 April 2017"
"70 DENISON STREET, CAMPERDOWN NSW 2050","688500","24 May 2013","128.16","NON STRATA","No",1948236,"AH851888","23 April 2017"
"84 DENISON STREET, CAMPERDOWN NSW 2050","1790000","29 August 2015","128.2","NON STRATA","No",1948243,"AJ938561","23 April 2017"
"92 DENISON STREET, CAMPERDOWN NSW 2050","950000","17 September 2016","101.2","NON STRATA","No",1948247,"AM33637","23 April 2017"
"92 DENISON STREET, CAMPERDOWN NSW 2050","684000","17 August 2013","101.2","NON STRATA","No",1948247,"AI68915","23 April 2017"
"94 DENISON STREET, CAMPERDOWN NSW 2050","1050000","19 February 2015","133.9","NON STRATA","No",1948248,"AJ448370","23 April 2017"
"114 DENISON STREET, CAMPERDOWN NSW 2050","1251000","18 August 2015","126.5","NON STRATA","No",1948258,"AJ891712","23 April 2017"
"118 DENISON STREET, CAMPERDOWN NSW 2050","1760000","18 July 2015","252.9","NON STRATA","No",1948260,"AJ793275","23 April 2017"
"128 DENISON STREET, CAMPERDOWN NSW 2050","1005000","20 November 2013","158.1","NON STRATA","No",1948265,"AI352134","23 April 2017"
"130 DENISON STREET, CAMPERDOWN NSW 2050","1150000","24 July 2014","112.1","NON STRATA","No",1948266,"AI887189","23 April 2017"
"136 DENISON STREET, CAMPERDOWN NSW 2050","2850000","18 June 2014","284.5","NON STRATA","No",1948268,"AI780163","23 April 2017"
"165 DENISON STREET, CAMPERDOWN NSW 2050","805000","5 July 2012","93.51","NON STRATA","No",1948368,"AH189282","23 April 2017"
"149 DENISON STREET, CAMPERDOWN NSW 2050","1050000","5 December 2012","247","NON STRATA","No",1948376,"AH508584","23 April 2017"
"147 DENISON STREET, CAMPERDOWN NSW 2050","1690000","7 November 2015","252.9","NON STRATA","No",1948377,"AK217491","23 April 2017"
"127 DENISON STREET, CAMPERDOWN NSW 2050","750000","24 January 2013","127","NON STRATA","No",1948387,"AH612904","23 April 2017"
"111 DENISON STREET, CAMPERDOWN NSW 2050","1551000","16 November 2016","177","NON STRATA","No",1948393,"AM173202","23 April 2017"
"105 DENISON STREET, CAMPERDOWN NSW 2050","1271500","15 February 2017","131.5","NON STRATA","No",1948396,"AM287264","23 April 2017"
"91 DENISON STREET, CAMPERDOWN NSW 2050","989000","19 December 2014","111","NON STRATA","No",1948400,"AJ281014","23 April 2017"
"85 DENISON STREET, CAMPERDOWN NSW 2050","827000","23 August 2013","107.5","NON STRATA","No",1948403,"AI77708","23 April 2017"
"79 DENISON STREET, CAMPERDOWN NSW 2050","1345000","28 May 2016","139.1","NON STRATA","No",1948406,"AK604027","23 April 2017"
"75 DENISON STREET, CAMPERDOWN NSW 2050","2005000","1 October 2015","139.1","NON STRATA","No",1948408,"AK4498","23 April 2017"
"63 DENISON STREET, CAMPERDOWN NSW 2050","1830000","15 October 2016","177","NON STRATA","No",1948414,"AK994596","23 April 2017"
"55 DENISON STREET, CAMPERDOWN NSW 2050","1200000","16 September 2013","630.4","NON STRATA","No",1948417,"AI359868","23 April 2017"
"1 DERBY STREET, CAMPERDOWN NSW 2050","1530000","8 October 2016","208.7","NON STRATA","No",1948433,"AK976307","23 April 2017"
"11 ETON STREET, CAMPERDOWN NSW 2050","750000","21 November 2012","126.5","NON STRATA","No",1949943,"AH464322","23 April 2017"
"15 ETON STREET, CAMPERDOWN NSW 2050","3600000","25 November 2014","379.4","NON STRATA","No",1949944,"AJ206781","23 April 2017"
"28 ETON STREET, CAMPERDOWN NSW 2050","1385000","9 September 2014","126.5","NON STRATA","No",1949948,"AI994049","23 April 2017"
"28 ETON STREET, CAMPERDOWN NSW 2050","686500","15 March 2013","126.5","NON STRATA","No",1949948,"AH682575","23 April 2017"
"8 ETON STREET, CAMPERDOWN NSW 2050","1245000","12 December 2015","158.1","NON STRATA","No",1949957,"AK214513","23 April 2017"
"19 FOWLER STREET, CAMPERDOWN NSW 2050","1885000","27 June 2015","163","NON STRATA","No",1951138,"AJ768244","23 April 2017"
"29 FOWLER STREET, CAMPERDOWN NSW 2050","1700000","27 June 2015","151","NON STRATA","No",1951142,"AJ741643","23 April 2017"
"14 GIBBENS STREET, CAMPERDOWN NSW 2050","970000","7 November 2014","80.6","NON STRATA","No",1952082,"AJ144036","23 April 2017"
"22 GIBBENS STREET, CAMPERDOWN NSW 2050","960000","2 December 2015","117.2","NON STRATA","No",1952086,"AK184289","23 April 2017"
