ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"17/1 DWYER STREET, CHIPPENDALE NSW 2008","315000","5 December 2014","0","STRATA","No","2025677","AJ216711","30 April 2017"
"15/1 DWYER STREET, CHIPPENDALE NSW 2008","328000","21 November 2014","0","STRATA","No","2025675","AJ167080","30 April 2017"
"18/1 DWYER STREET, CHIPPENDALE NSW 2008","328000","6 August 2014","0","STRATA","No","2025678","AI895430","30 April 2017"
"25/1 DWYER STREET, CHIPPENDALE NSW 2008","330000","3 July 2014","0","STRATA","No","2025685","AI815505","30 April 2017"
"21/1 DWYER STREET, CHIPPENDALE NSW 2008","465000","9 October 2013","0","STRATA","No","2025681","AI186919","30 April 2017"
"40/1 DWYER STREET, CHIPPENDALE NSW 2008","350000","17 July 2013","0","STRATA","No","2025700","AH981301","30 April 2017"
"31/1 DWYER STREET, CHIPPENDALE NSW 2008","293000","28 June 2013","0","STRATA","No","2025691","AH956821","30 April 2017"
"22/1 DWYER STREET, CHIPPENDALE NSW 2008","310000","19 March 2013","0","STRATA","No","2025682","AH752447","30 April 2017"
"27/1 DWYER STREET, CHIPPENDALE NSW 2008","303000","16 July 2012","0","STRATA","No","2025687","AH255190","30 April 2017"
"822 GEORGE STREET, CHIPPENDALE NSW 2008","15500000","26 August 2016","378.76","NON STRATA","No",2027734,"AM211506","30 April 2017"
"7 GOOLD STREET, CHIPPENDALE NSW 2008","1720000","23 February 2017","78.69","NON STRATA","No",2028361,"AM294094","30 April 2017"
"11 GOOLD STREET, CHIPPENDALE NSW 2008","690000","25 June 2013","50.6","NON STRATA","No",2028363,"AH932116","30 April 2017"
"36/27 REGENT STREET, CHIPPENDALE NSW 2008","599950","7 May 2016","0","STRATA","No","2816298","AK560475","30 April 2017"
"31/27 REGENT STREET, CHIPPENDALE NSW 2008","675000","21 December 2015","0","STRATA","No","2816303","AK232471","30 April 2017"
"26/27 REGENT STREET, CHIPPENDALE NSW 2008","484888","21 August 2015","0","STRATA","No","2816310","AJ881796","30 April 2017"
"14/27 REGENT STREET, CHIPPENDALE NSW 2008","492000","14 May 2015","0","STRATA","No","2816294","AJ666766","30 April 2017"
