ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"1207/38 COLLEGE STREET, DARLINGHURST NSW 2010","440000","16 February 2017","0","STRATA","No","2024710","AM253163","30 April 2017"
"1009/38 COLLEGE STREET, DARLINGHURST NSW 2010","381000","14 February 2017","0","STRATA","No","2024680","AM253326","30 April 2017"
"1307/38 COLLEGE STREET, DARLINGHURST NSW 2010","400000","24 January 2017","0","STRATA","No","2024534","AM213248","30 April 2017"
"412/38 COLLEGE STREET, DARLINGHURST NSW 2010","400000","19 January 2017","0","STRATA","No","2024605","AM159775","30 April 2017"
"302/38 COLLEGE STREET, DARLINGHURST NSW 2010","335000","13 December 2016","0","STRATA","No","2024590","AM134620","30 April 2017"
"404/38 COLLEGE STREET, DARLINGHURST NSW 2010","322500","3 December 2016","0","STRATA","No","2024597","AM117429","30 April 2017"
"513/38 COLLEGE STREET, DARLINGHURST NSW 2010","365000","24 November 2016","0","STRATA","No","2024616","AM102594","30 April 2017"
"402/38 COLLEGE STREET, DARLINGHURST NSW 2010","301500","2 November 2016","0","STRATA","No","2024595","AM64373","30 April 2017"
"212/38 COLLEGE STREET, DARLINGHURST NSW 2010","2750000","7 September 2016","0","STRATA","No","2024575","AK887022","30 April 2017"
"1103/38 COLLEGE STREET, DARLINGHURST NSW 2010","435000","6 September 2016","0","STRATA","No","2024696","AK951202","30 April 2017"
"1309/38 COLLEGE STREET, DARLINGHURST NSW 2010","345000","2 September 2016","0","STRATA","No","2024536","AK799360","30 April 2017"
"615/38 COLLEGE STREET, DARLINGHURST NSW 2010","365000","31 August 2016","0","STRATA","No","2024623","AK923799","30 April 2017"
"1203/38 COLLEGE STREET, DARLINGHURST NSW 2010","385000","25 August 2016","0","STRATA","No","2024706","AK965952","30 April 2017"
"809/38 COLLEGE STREET, DARLINGHURST NSW 2010","510000","16 August 2016","0","STRATA","No","2024662","AK829324","30 April 2017"
"905/38 COLLEGE STREET, DARLINGHURST NSW 2010","517000","16 August 2016","0","STRATA","No","2024668","AK869140","30 April 2017"
"608/38 COLLEGE STREET, DARLINGHURST NSW 2010","400000","14 June 2016","0","STRATA","No","2024631","AK645671","30 April 2017"
"1205/38 COLLEGE STREET, DARLINGHURST NSW 2010","180000","9 June 2016","0","STRATA","No","2024708","AK734239","30 April 2017"
"514/38 COLLEGE STREET, DARLINGHURST NSW 2010","365000","16 May 2016","0","STRATA","No","2024617","AK576184","30 April 2017"
"906/38 COLLEGE STREET, DARLINGHURST NSW 2010","495000","21 December 2015","0","STRATA","No","2024669","AK199680","30 April 2017"
"1502/38 COLLEGE STREET, DARLINGHURST NSW 2010","350000","8 December 2015","0","STRATA","No","2024559","AK161269","30 April 2017"
"1010/38 COLLEGE STREET, DARLINGHURST NSW 2010","340000","4 December 2015","0","STRATA","No","2024681","AK199110","30 April 2017"
"1309/38 COLLEGE STREET, DARLINGHURST NSW 2010","372500","25 November 2015","0","STRATA","No","2024536","AK143356","30 April 2017"
"1100/38 COLLEGE STREET, DARLINGHURST NSW 2010","525000","4 November 2015","0","STRATA","No","2024693","AK147512","30 April 2017"
"203/38 COLLEGE STREET, DARLINGHURST NSW 2010","480000","9 October 2015","0","STRATA","No","2024566","AJ998398","30 April 2017"
"1001/38 COLLEGE STREET, DARLINGHURST NSW 2010","535000","20 August 2015","0","STRATA","No","2024684","AJ785009","30 April 2017"
"1201/38 COLLEGE STREET, DARLINGHURST NSW 2010","535000","18 August 2015","0","STRATA","No","2024704","AJ872839","30 April 2017"
"710/38 COLLEGE STREET, DARLINGHURST NSW 2010","500000","24 March 2015","0","STRATA","No","2024643","AJ458248","30 April 2017"
"1004/38 COLLEGE STREET, DARLINGHURST NSW 2010","595000","14 February 2015","0","STRATA","No","2024687","AJ406388","30 April 2017"
"1001/38 COLLEGE STREET, DARLINGHURST NSW 2010","460000","21 January 2015","0","STRATA","No","2024684","AJ302830","30 April 2017"
"906/38 COLLEGE STREET, DARLINGHURST NSW 2010","385000","10 October 2014","0","STRATA","No","2024669","AJ174482","30 April 2017"
"607/38 COLLEGE STREET, DARLINGHURST NSW 2010","259000","11 June 2014","0","STRATA","No","2024630","AI789860","30 April 2017"
"710/38 COLLEGE STREET, DARLINGHURST NSW 2010","330000","18 December 2013","0","STRATA","No","2024643","AI380112","30 April 2017"
"1206/38 COLLEGE STREET, DARLINGHURST NSW 2010","415000","15 November 2013","0","STRATA","No","2024709","AI276866","30 April 2017"
"810/38 COLLEGE STREET, DARLINGHURST NSW 2010","350000","15 August 2013","0","STRATA","No","2024663","AI62038","30 April 2017"
"606/38 COLLEGE STREET, DARLINGHURST NSW 2010","231000","19 July 2013","0","STRATA","No","2024629","AH985676","30 April 2017"
"1011/38 COLLEGE STREET, DARLINGHURST NSW 2010","235000","24 June 2013","0","STRATA","No","2024682","AI8785","30 April 2017"
"1109/38 COLLEGE STREET, DARLINGHURST NSW 2010","272000","20 June 2013","0","STRATA","No","2024702","AH952650","30 April 2017"
"313/38 COLLEGE STREET, DARLINGHURST NSW 2010","225000","20 June 2013","0","STRATA","No","2024586","AH987612","30 April 2017"
"409/38 COLLEGE STREET, DARLINGHURST NSW 2010","355000","8 June 2013","0","STRATA","No","2024602","AH907281","30 April 2017"
"911/38 COLLEGE STREET, DARLINGHURST NSW 2010","215000","22 February 2013","0","STRATA","No","2024674","AH632908","30 April 2017"
"306/38 COLLEGE STREET, DARLINGHURST NSW 2010","210000","26 June 2012","0","STRATA","No","2024579","AH84958","30 April 2017"
"809/38 COLLEGE STREET, DARLINGHURST NSW 2010","365000","23 May 2012","0","STRATA","No","2024662","AH89053","30 April 2017"
"712/38 COLLEGE STREET, DARLINGHURST NSW 2010","232000","20 May 2012","0","STRATA","No","2024645","AH86318","30 April 2017"
"152 LIVERPOOL STREET, DARLINGHURST NSW 2010","1500000","8 May 2012","80","NON STRATA","No",2034556,"AH31266","30 April 2017"
"1B BARCOM AVENUE, DARLINGHURST NSW 2010","350000","23 June 2014","404.7","NON STRATA","No",2107150,"AI806499","30 April 2017"
"7 BARCOM AVENUE, DARLINGHURST NSW 2010","1850000","20 November 2015","139.1","NON STRATA","No",2107153,"AK192494","30 April 2017"
"9 BARCOM AVENUE, DARLINGHURST NSW 2010","1725000","8 November 2013","151.8","NON STRATA","No",2107154,"AI253848","30 April 2017"
"11 BARCOM AVENUE, DARLINGHURST NSW 2010","1800000","27 August 2014","164.4","NON STRATA","No",2107155,"AI940991","30 April 2017"
"23B/23 BARCOM AVENUE, DARLINGHURST NSW 2010","470000","2 September 2016","0","STRATA","No","2107165","AK855543","30 April 2017"
"13/23 BARCOM AVENUE, DARLINGHURST NSW 2010","65000","14 June 2016","0","STRATA","No","2107175","AK759818","30 April 2017"
"15/23 BARCOM AVENUE, DARLINGHURST NSW 2010","70000","14 June 2016","0","STRATA","No","2107177","AK649271","30 April 2017"
"27/23 BARCOM AVENUE, DARLINGHURST NSW 2010","1380000","22 January 2015","0","STRATA","No","2107167","AJ324149","30 April 2017"
"23B/23 BARCOM AVENUE, DARLINGHURST NSW 2010","325000","17 April 2013","0","STRATA","No","2107165","AH899081","30 April 2017"
"12/41B BARCOM AVENUE, DARLINGHURST NSW 2010","758000","27 February 2016","0","STRATA","No","2107192","AK373004","30 April 2017"
"45A BARCOM AVENUE, DARLINGHURST NSW 2010","703000","10 December 2015","0","STRATA","No","2107195","AK163240","30 April 2017"
"31A BARCOM AVENUE, DARLINGHURST NSW 2010","740000","17 February 2015","0","STRATA","No","2107181","AJ390088","30 April 2017"
"35B BARCOM AVENUE, DARLINGHURST NSW 2010","595000","25 July 2013","0","STRATA","No","2107186","AI11013","30 April 2017"
"31B BARCOM AVENUE, DARLINGHURST NSW 2010","600000","10 May 2013","0","STRATA","No","2107182","AH846554","30 April 2017"
"39B BARCOM AVENUE, DARLINGHURST NSW 2010","600000","13 February 2013","0","STRATA","No","2107190","AH614034","30 April 2017"
"12/41B BARCOM AVENUE, DARLINGHURST NSW 2010","113000","5 November 2012","0","STRATA","No","2107192","AH370857","30 April 2017"
"2/31 BARCOM AVENUE, DARLINGHURST NSW 2010","925000","1 April 2014","0","STRATA","No","2107200","AI599493","30 April 2017"
"1/31 BARCOM AVENUE, DARLINGHURST NSW 2010","800000","25 September 2013","0","STRATA","No","2107201","AI233375","30 April 2017"
"2/33 BARCOM AVENUE, DARLINGHURST NSW 2010","1030000","31 March 2014","0","STRATA","No","2107203","AI603160","30 April 2017"
"1/51 BARCOM AVENUE, DARLINGHURST NSW 2010","1270000","15 February 2017","0","STRATA","No","2107223","AM255579","30 April 2017"
"1/51 BARCOM AVENUE, DARLINGHURST NSW 2010","975000","20 April 2015","0","STRATA","No","2107223","AJ570178","30 April 2017"
"57 BARCOM AVENUE, DARLINGHURST NSW 2010","1900000","4 May 2016","208.6","NON STRATA","No",2107228,"AK563089","30 April 2017"
"67 BARCOM AVENUE, DARLINGHURST NSW 2010","645000","29 January 2015","177","NON STRATA","No",2107233,"AJ342865","30 April 2017"
"73 BARCOM AVENUE, DARLINGHURST NSW 2010","2350000","1 November 2016","170.8","NON STRATA","No",2107236,"AM47529","30 April 2017"
"77 BARCOM AVENUE, DARLINGHURST NSW 2010","1450000","14 November 2013","202.3","NON STRATA","No",2107238,"AI382366","30 April 2017"
"89 BARCOM AVENUE, DARLINGHURST NSW 2010","1975000","4 June 2015","221.3","NON STRATA","No",2107240,"AJ834860","30 April 2017"
"105 BARCOM AVENUE, DARLINGHURST NSW 2010","1105000","30 October 2013","63.2","NON STRATA","No",2107248,"AI354222","30 April 2017"
"113 BARCOM AVENUE, DARLINGHURST NSW 2010","1800000","2 June 2015","94.8","NON STRATA","No",2107252,"AJ694599","30 April 2017"
"135 BARCOM AVENUE, DARLINGHURST NSW 2010","1270000","11 December 2015","107.5","NON STRATA","No",2107255,"AK182321","30 April 2017"
"208 BARCOM AVENUE, DARLINGHURST NSW 2010","633000","3 June 2014","185.93","NON STRATA","No",2107263,"AI835825","30 April 2017"
"198 BARCOM AVENUE, DARLINGHURST NSW 2010","1930000","25 February 2016","132.8","NON STRATA","No",2107268,"AK378068","30 April 2017"
"192 BARCOM AVENUE, DARLINGHURST NSW 2010","1700000","17 November 2014","124.66","NON STRATA","No",2107271,"AJ212746","30 April 2017"
"188 BARCOM AVENUE, DARLINGHURST NSW 2010","1700000","10 October 2014","126.5","NON STRATA","No",2107273,"AJ145060","30 April 2017"
"180 BARCOM AVENUE, DARLINGHURST NSW 2010","1735000","30 October 2015","120.1","NON STRATA","No",2107276,"AK90301","30 April 2017"
"168 BARCOM AVENUE, DARLINGHURST NSW 2010","1200000","7 May 2012","158.1","NON STRATA","No",2107282,"AH30833","30 April 2017"
"158 BARCOM AVENUE, DARLINGHURST NSW 2010","490000","7 August 2012","120.1","NON STRATA","No",2107287,"AH178561","30 April 2017"
"156 BARCOM AVENUE, DARLINGHURST NSW 2010","971000","23 October 2013","139.1","NON STRATA","No",2107288,"AI230224","30 April 2017"
"8/80 BARCOM AVENUE, DARLINGHURST NSW 2010","1030000","7 May 2016","0","STRATA","Yes (2)","2107305","AK555377","30 April 2017"
"8/80 BARCOM AVENUE, DARLINGHURST NSW 2010","1030000","7 May 2016","0","STRATA","Yes (2)","2107319","AK555377","30 April 2017"
