ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"268 ABERCROMBIE STREET, DARLINGTON NSW 2008","588494","4 September 2013","","NON STRATA","Yes (2)",2105525,"AI86217","30 April 2017"
"270 ABERCROMBIE STREET, DARLINGTON NSW 2008","588494","4 September 2013","","NON STRATA","Yes (2)",2105526,"AI86217","30 April 2017"
"272 ABERCROMBIE STREET, DARLINGTON NSW 2008","1550000","24 March 2016","139.1","NON STRATA","No",2105527,"AK450636","30 April 2017"
"290 ABERCROMBIE STREET, DARLINGTON NSW 2008","1620000","19 March 2016","132.8","NON STRATA","No",2105536,"AK416256","30 April 2017"
"314 ABERCROMBIE STREET, DARLINGTON NSW 2008","1550000","21 August 2015","224.4","NON STRATA","No",2105543,"AK582377","30 April 2017"
"326 ABERCROMBIE STREET, DARLINGTON NSW 2008","1417000","17 March 2015","171","NON STRATA","No",2105549,"AJ469986","30 April 2017"
"346 ABERCROMBIE STREET, DARLINGTON NSW 2008","930000","29 January 2014","129.6","NON STRATA","No",2105558,"AI401476","30 April 2017"
"348 ABERCROMBIE STREET, DARLINGTON NSW 2008","1007000","23 July 2013","133.2","NON STRATA","No",2105559,"AI34248","30 April 2017"
"354 ABERCROMBIE STREET, DARLINGTON NSW 2008","1675000","15 November 2014","196","NON STRATA","No",2105562,"AJ135353","30 April 2017"
"368 ABERCROMBIE STREET, DARLINGTON NSW 2008","1500000","1 August 2013","185.8","NON STRATA","No",2105569,"AI38868","30 April 2017"
"396 ABERCROMBIE STREET, DARLINGTON NSW 2008","1450000","2 December 2015","158.2","NON STRATA","No",2105583,"AK177689","30 April 2017"
"398 ABERCROMBIE STREET, DARLINGTON NSW 2008","1480000","1 November 2014","152.3","NON STRATA","No",2105585,"AJ184552","30 April 2017"
"404 ABERCROMBIE STREET, DARLINGTON NSW 2008","1400000","7 February 2015","185.8","NON STRATA","No",2105590,"AJ438223","30 April 2017"
"408 ABERCROMBIE STREET, DARLINGTON NSW 2008","110000","17 December 2014","185.8","NON STRATA","No",2105592,"AJ292743","30 April 2017"
"414 ABERCROMBIE STREET, DARLINGTON NSW 2008","1262000","23 November 2013","132.3","NON STRATA","No",2105595,"AI327268","30 April 2017"
"418 ABERCROMBIE STREET, DARLINGTON NSW 2008","1900000","21 September 2016","130.2","NON STRATA","No",2105597,"AM56801","30 April 2017"
"420 ABERCROMBIE STREET, DARLINGTON NSW 2008","1450000","11 April 2015","139.1","NON STRATA","No",2105598,"AJ605031","30 April 2017"
"434 ABERCROMBIE STREET, DARLINGTON NSW 2008","975000","28 June 2012","138.8","NON STRATA","No",2105605,"AH169974","30 April 2017"
"436 ABERCROMBIE STREET, DARLINGTON NSW 2008","1360000","16 July 2014","143","NON STRATA","No",2105606,"AI861206","30 April 2017"
