ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"1 LOWER FORT STREET, DAWES POINT NSW 2000","6670000","3 December 2015","212.8","NON STRATA","No",2034565,"AK444064","30 April 2017"
"5 LOWER FORT STREET, DAWES POINT NSW 2000","4675000","8 June 2016","214.8","NON STRATA","No",2034567,"AK730809","30 April 2017"
"7 LOWER FORT STREET, DAWES POINT NSW 2000","4700000","13 July 2016","206.7","NON STRATA","No",2034568,"AK785413","30 April 2017"
"9 LOWER FORT STREET, DAWES POINT NSW 2000","6100000","4 May 2016","311.4","NON STRATA","No",2034569,"AK549450","30 April 2017"
"11 LOWER FORT STREET, DAWES POINT NSW 2000","3950000","11 September 2014","224.1","NON STRATA","No",2034570,"AJ856","30 April 2017"
"13 LOWER FORT STREET, DAWES POINT NSW 2000","4000000","4 May 2016","221.9","NON STRATA","No",2034571,"AK529384","30 April 2017"
"15 LOWER FORT STREET, DAWES POINT NSW 2000","5050000","30 November 2016","229.6","NON STRATA","No",2034572,"AM194677","30 April 2017"
"17 LOWER FORT STREET, DAWES POINT NSW 2000","3900000","30 March 2016","236.4","NON STRATA","No",2034573,"AK512529","30 April 2017"
"19 LOWER FORT STREET, DAWES POINT NSW 2000","4000000","30 March 2016","245.8","NON STRATA","No",2034574,"AK530767","30 April 2017"
"23 LOWER FORT STREET, DAWES POINT NSW 2000","2685000","11 September 2014","169.7","NON STRATA","No",2034577,"AI993118","30 April 2017"
"29 LOWER FORT STREET, DAWES POINT NSW 2000","2560000","26 August 2014","168.5","NON STRATA","No",2034580,"AI988758","30 April 2017"
"35 LOWER FORT STREET, DAWES POINT NSW 2000","3600000","4 May 2016","132","NON STRATA","No",2034583,"AK536965","30 April 2017"
"63 LOWER FORT STREET, DAWES POINT NSW 2000","2555000","25 February 2016","97.67","NON STRATA","No",2034598,"AK372589","30 April 2017"
"71 LOWER FORT STREET, DAWES POINT NSW 2000","2560000","25 February 2016","98.24","NON STRATA","No",2034602,"AK360753","30 April 2017"
"58A LOWER FORT STREET, DAWES POINT NSW 2000","1300000","25 September 2012","0","STRATA","No","2034612","AH390092","30 April 2017"
"8 TRINITY AVENUE, DAWES POINT NSW 2000","7700000","25 February 2016","759.1","NON STRATA","No",2046170,"AK339462","30 April 2017"
"22 POTTINGER STREET, DAWES POINT NSW 2000","4105000","26 August 2016","0","STRATA","No","2883211","AK851377","30 April 2017"
"28 POTTINGER STREET, DAWES POINT NSW 2000","2000000","11 July 2016","0","STRATA","No","2883214","AK642532","30 April 2017"
"16 POTTINGER STREET, DAWES POINT NSW 2000","3175000","20 September 2013","0","STRATA","No","2883224","AI284983","30 April 2017"
"20 POTTINGER STREET, DAWES POINT NSW 2000","3100000","23 July 2013","0","STRATA","No","2883210","AI317435","30 April 2017"
"201/17A HICKSON ROAD, DAWES POINT NSW 2000","2200000","4 November 2016","0","STRATA","No","2966077","AM47837","30 April 2017"
"202/17A HICKSON ROAD, DAWES POINT NSW 2000","1475000","14 November 2014","0","STRATA","No","2966088","AJ145304","30 April 2017"
"603/17 HICKSON ROAD, DAWES POINT NSW 2000","4120000","30 May 2014","0","STRATA","No","2966115","AI772159","30 April 2017"
"511/17 HICKSON ROAD, DAWES POINT NSW 2000","1050000","4 February 2014","0","STRATA","No","2966111","AI450817","30 April 2017"
"309/17 HICKSON ROAD, DAWES POINT NSW 2000","1500000","18 November 2013","0","STRATA","No","2966086","AI257943","30 April 2017"
"211/17 HICKSON ROAD, DAWES POINT NSW 2000","1660000","30 October 2013","0","STRATA","No","2966078","AI232938","30 April 2017"
"501/17A HICKSON ROAD, DAWES POINT NSW 2000","3050000","18 July 2013","0","STRATA","No","2966101","AI24715","30 April 2017"
"201/17A HICKSON ROAD, DAWES POINT NSW 2000","1650000","25 March 2013","0","STRATA","Yes (2)","2966077","AH989447","30 April 2017"
"206/17A HICKSON ROAD, DAWES POINT NSW 2000","1420000","31 December 2012","0","STRATA","No","2966121","AH681625","30 April 2017"
"302/17A HICKSON ROAD, DAWES POINT NSW 2000","1370000","17 December 2012","0","STRATA","No","2966080","AH641049","30 April 2017"
"301/17A HICKSON ROAD, DAWES POINT NSW 2000","1300000","23 November 2012","0","STRATA","No","2966079","AH483510","30 April 2017"
"311/17 HICKSON ROAD, DAWES POINT NSW 2000","1750000","24 September 2012","0","STRATA","No","2966089","AH368087","30 April 2017"
"309/17 HICKSON ROAD, DAWES POINT NSW 2000","1300000","2 July 2012","0","STRATA","No","2966086","AH181511","30 April 2017"
"27/40 POTTINGER STREET, DAWES POINT NSW 2000","165000","21 December 2016","0","STRATA","No","2990346","AM171288","30 April 2017"
"18/40 POTTINGER STREET, DAWES POINT NSW 2000","2300000","19 January 2016","0","STRATA","Yes (2)","2990336","AK303483","30 April 2017"
"23/40 POTTINGER STREET, DAWES POINT NSW 2000","2200000","17 October 2015","0","STRATA","Yes (2)","2990342","AK47387","30 April 2017"
"22/40 POTTINGER STREET, DAWES POINT NSW 2000","2400000","12 June 2015","0","STRATA","Yes (2)","2990341","AJ701119","30 April 2017"
"4/40 POTTINGER STREET, DAWES POINT NSW 2000","1490000","28 March 2015","0","STRATA","Yes (2)","2990351","AJ682394","30 April 2017"
"5/40 POTTINGER STREET, DAWES POINT NSW 2000","1600000","17 October 2014","0","STRATA","Yes (2)","2990352","AJ83168","30 April 2017"
"7/40 POTTINGER STREET, DAWES POINT NSW 2000","1500000","21 July 2014","0","STRATA","Yes (2)","2990354","AI886649","30 April 2017"
"17/40 POTTINGER STREET, DAWES POINT NSW 2000","1800000","11 March 2014","0","STRATA","Yes (2)","2990335","AI546870","30 April 2017"
"15/40 POTTINGER STREET, DAWES POINT NSW 2000","1700000","7 November 2013","0","STRATA","Yes (2)","2990333","AI303706","30 April 2017"
"503/19 HICKSON ROAD, DAWES POINT NSW 2000","2850000","27 October 2016","0","STRATA","No","2973514","AM97543","30 April 2017"
"319/19 HICKSON ROAD, DAWES POINT NSW 2000","4200000","12 August 2016","0","STRATA","No","2973470","AK853526","30 April 2017"
"409/19 HICKSON ROAD, DAWES POINT NSW 2000","3850000","20 July 2016","0","STRATA","No","2973490","AK782318","30 April 2017"
"136/19 HICKSON ROAD, DAWES POINT NSW 2000","4250000","21 June 2016","0","STRATA","No","2973443","AK782190","30 April 2017"
"410/19 HICKSON ROAD, DAWES POINT NSW 2000","2700000","17 June 2016","0","STRATA","No","2973491","AK712188","30 April 2017"
"330/19 HICKSON ROAD, DAWES POINT NSW 2000","4400000","27 May 2016","0","STRATA","No","2973481","AK687637","30 April 2017"
"141/19 HICKSON ROAD, DAWES POINT NSW 2000","595000","24 March 2016","0","STRATA","No","2973423","AK432660","30 April 2017"
"420/19 HICKSON ROAD, DAWES POINT NSW 2000","2225000","19 February 2016","0","STRATA","No","2973501","AK348711","30 April 2017"
"602/19 HICKSON ROAD, DAWES POINT NSW 2000","6500000","14 December 2015","0","STRATA","No","2973403","AK172889","30 April 2017"
"518/19 HICKSON ROAD, DAWES POINT NSW 2000","2600000","27 November 2015","0","STRATA","No","2973389","AK240057","30 April 2017"
"425/19 HICKSON ROAD, DAWES POINT NSW 2000","3980000","7 August 2015","0","STRATA","No","2973505","AJ911790","30 April 2017"
"527/19 HICKSON ROAD, DAWES POINT NSW 2000","3450000","3 March 2015","0","STRATA","No","2973397","AJ474906","30 April 2017"
"111/19 HICKSON ROAD, DAWES POINT NSW 2000","5500000","2 March 2015","0","STRATA","Yes (2)","3620949","AJ421702","30 April 2017"
"105/19 HICKSON ROAD, DAWES POINT NSW 2000","3150000","19 February 2015","0","STRATA","No","2973451","AJ491488","30 April 2017"
"121/19 HICKSON ROAD, DAWES POINT NSW 2000","2925000","29 October 2014","0","STRATA","No","2973428","AJ108383","30 April 2017"
"320/19 HICKSON ROAD, DAWES POINT NSW 2000","1885000","26 September 2014","0","STRATA","No","2973471","AJ34840","30 April 2017"
"608/19 HICKSON ROAD, DAWES POINT NSW 2000","5700000","25 July 2014","0","STRATA","No","2973408","AI897708","30 April 2017"
"141/19 HICKSON ROAD, DAWES POINT NSW 2000","450000","15 May 2014","0","STRATA","No","2973423","AI739663","30 April 2017"
"507/19 HICKSON ROAD, DAWES POINT NSW 2000","1720000","12 May 2014","0","STRATA","No","2973378","AI659009","30 April 2017"
"106/19 HICKSON ROAD, DAWES POINT NSW 2000","2590000","11 April 2014","0","STRATA","No","2973462","AI670964","30 April 2017"
"323/19 HICKSON ROAD, DAWES POINT NSW 2000","3400000","28 March 2014","0","STRATA","No","2973475","AI533646","30 April 2017"
"615/19 HICKSON ROAD, DAWES POINT NSW 2000","6550000","18 March 2014","0","STRATA","No","2973415","AI571398","30 April 2017"
"102/19 HICKSON ROAD, DAWES POINT NSW 2000","2880000","6 March 2014","0","STRATA","Yes (2)","2973429","AI597249","30 April 2017"
"127/19 HICKSON ROAD, DAWES POINT NSW 2000","2750000","4 February 2014","0","STRATA","No","2973434","AI407567","30 April 2017"
"518/19 HICKSON ROAD, DAWES POINT NSW 2000","2000000","25 November 2013","0","STRATA","No","2973389","AI359415","30 April 2017"
"130/19 HICKSON ROAD, DAWES POINT NSW 2000","2455000","7 November 2013","0","STRATA","No","2973437","AI309961","30 April 2017"
"606/19 HICKSON ROAD, DAWES POINT NSW 2000","5850000","7 November 2013","0","STRATA","Yes (2)","2973406","AI435916","30 April 2017"
"119/19 HICKSON ROAD, DAWES POINT NSW 2000","2400000","30 October 2013","0","STRATA","No","2973426","AI263940","30 April 2017"
"121/19 HICKSON ROAD, DAWES POINT NSW 2000","2480000","20 September 2013","0","STRATA","No","2973428","AI180728","30 April 2017"
"617/19 HICKSON ROAD, DAWES POINT NSW 2000","6200000","10 September 2013","0","STRATA","No","2973417","AI124204","30 April 2017"
"419/19 HICKSON ROAD, DAWES POINT NSW 2000","2500000","20 August 2013","0","STRATA","No","2973500","AH984220","30 April 2017"
"419/19 HICKSON ROAD, DAWES POINT NSW 2000","2500000","20 August 2013","0","STRATA","No","2973500","AH984221","30 April 2017"
"422/19 HICKSON ROAD, DAWES POINT NSW 2000","3150000","20 August 2013","0","STRATA","No","2973503","AI76238","30 April 2017"
"306/19 HICKSON ROAD, DAWES POINT NSW 2000","2600000","2 August 2013","0","STRATA","No","2973457","AI51181","30 April 2017"
"105/19 HICKSON ROAD, DAWES POINT NSW 2000","2200000","19 June 2013","0","STRATA","No","2973451","AH895656","30 April 2017"
"113/19 HICKSON ROAD, DAWES POINT NSW 2000","2380000","28 May 2013","0","STRATA","No","2973399","AH877622","30 April 2017"
"310/19 HICKSON ROAD, DAWES POINT NSW 2000","1690000","28 May 2013","0","STRATA","No","2973461","AH899735","30 April 2017"
"317/19 HICKSON ROAD, DAWES POINT NSW 2000","1730000","19 April 2013","0","STRATA","No","2973468","AH783507","30 April 2017"
"318/19 HICKSON ROAD, DAWES POINT NSW 2000","1730000","15 April 2013","0","STRATA","No","2973469","AH803296","30 April 2017"
"411/19 HICKSON ROAD, DAWES POINT NSW 2000","1650000","15 February 2013","0","STRATA","No","2973492","AH650860","30 April 2017"
"128/19 HICKSON ROAD, DAWES POINT NSW 2000","2430000","27 December 2012","0","STRATA","No","2973435","AI570474","30 April 2017"
"523/19 HICKSON ROAD, DAWES POINT NSW 2000","2800000","23 November 2012","0","STRATA","No","2973394","AH633803","30 April 2017"
