ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"13/4 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","495000","15 December 2016","0","STRATA","No","2107348","AM102735","23 April 2017"
"10/4 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","438000","31 March 2016","0","STRATA","No","2107345","AK426758","23 April 2017"
"14/4 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","401000","14 April 2015","0","STRATA","No","2107349","AJ534946","23 April 2017"
"14/4 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","50000","10 June 2014","0","STRATA","No","2107336","AJ287156","23 April 2017"
"39/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","555000","11 February 2017","0","STRATA","Yes (2)","2107399","AM279370","23 April 2017"
"57/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","555000","11 February 2017","0","STRATA","Yes (2)","2107417","AM279370","23 April 2017"
"31/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","671000","6 December 2016","0","STRATA","No","2107391","AM160595","23 April 2017"
"3/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","450000","5 November 2015","0","STRATA","No","2107363","AK44164","23 April 2017"
"8/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","570000","4 September 2015","0","STRATA","No","2107368","AJ936196","23 April 2017"
"68/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","95000","20 August 2015","0","STRATA","No","2107428","AJ897462","23 April 2017"
"39/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","525000","7 August 2015","0","STRATA","Yes (2)","2107399","AJ835500","23 April 2017"
"57/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","525000","7 August 2015","0","STRATA","Yes (2)","2107417","AJ835500","23 April 2017"
"11/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","430000","18 June 2015","0","STRATA","No","2107371","AJ722065","23 April 2017"
"46/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","2500000","20 May 2015","0","STRATA","Yes (2)","2107406","AJ633136","23 April 2017"
"3/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","448000","24 April 2015","0","STRATA","Yes (2)","2107363","AJ536428","23 April 2017"
"68/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","448000","24 April 2015","0","STRATA","Yes (2)","2107428","AJ536428","23 April 2017"
"46/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","2270000","1 April 2014","0","STRATA","Yes (2)","2107406","AI575252","23 April 2017"
"43/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","655000","3 March 2014","0","STRATA","Yes (2)","2107403","AI557933","23 April 2017"
"43/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","655000","3 March 2014","0","STRATA","Yes (2)","2107422","AI557933","23 April 2017"
"19/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","530000","18 October 2013","0","STRATA","No","2107379","AI248997","23 April 2017"
"39/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","475000","12 August 2013","0","STRATA","Yes (2)","2107399","AI48120","23 April 2017"
"57/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","475000","12 August 2013","0","STRATA","Yes (2)","2107417","AI48120","23 April 2017"
"13/10 BARNCLEUTH SQUARE, ELIZABETH BAY NSW 2011","420000","22 April 2013","0","STRATA","No","2107373","AH800316","23 April 2017"
"9 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","6800000","5 July 2016","556.4","NON STRATA","No",2108731,"AK831670","23 April 2017"
"5/11 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","500000","20 December 2015","0","STRATA","No","2108737","AK240482","23 April 2017"
"5/11 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","1860000","17 October 2014","0","STRATA","No","2108737","AJ58783","23 April 2017"
"12/15 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","950000","17 April 2015","0","STRATA","No","2108751","AJ629453","23 April 2017"
"4/15 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","1300000","4 July 2014","0","STRATA","No","2108743","AI837440","23 April 2017"
"10/15 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","1375000","15 May 2013","0","STRATA","No","2108749","AH908412","23 April 2017"
"11/15 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","1375000","15 May 2013","0","STRATA","No","2108750","AI544051","23 April 2017"
"28/19 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","1100000","15 September 2016","0","STRATA","No","2108781","AK895354","23 April 2017"
"22/19 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","750000","23 April 2016","0","STRATA","No","2108775","AK518845","23 April 2017"
"20/19 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","487500","24 September 2015","0","STRATA","No","2108773","AJ993573","23 April 2017"
"4/19 BILLYARD AVENUE, ELIZABETH BAY NSW 2011","535000","6 June 2014","0","STRATA","No","2108757","AI749587","23 April 2017"
