ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"1 ADA LANE, ERSKINEVILLE NSW 2043","1100000","20 November 2015","109.2","NON STRATA","No",2105842,"AK186780","23 April 2017"
"6 ADA STREET, ERSKINEVILLE NSW 2043","845000","5 April 2014","95.93","NON STRATA","No",2105849,"AI607122","23 April 2017"
"8 ADA STREET, ERSKINEVILLE NSW 2043","1050000","2 June 2014","109.3","NON STRATA","No",2105850,"AI819360","23 April 2017"
"8 ADA STREET, ERSKINEVILLE NSW 2043","855000","18 May 2012","109.3","NON STRATA","No",2105850,"AH99556","23 April 2017"
"11 ADA STREET, ERSKINEVILLE NSW 2043","812000","19 July 2014","82.2","NON STRATA","No",2105853,"AI881597","23 April 2017"
"12 ALBERT STREET, ERSKINEVILLE NSW 2043","1800000","6 December 2013","466.46","NON STRATA","No",2105877,"AI327015","23 April 2017"
"14 ALBERT STREET, ERSKINEVILLE NSW 2043","823000","28 July 2012","139.1","NON STRATA","No",2105878,"AH238759","23 April 2017"
"18 ALBERT STREET, ERSKINEVILLE NSW 2043","947000","3 May 2014","189.7","NON STRATA","No",2105880,"AI758745","23 April 2017"
"22A ALBERT STREET, ERSKINEVILLE NSW 2043","1085000","15 July 2015","177","NON STRATA","No",2105883,"AJ782287","23 April 2017"
"30 ALBERT STREET, ERSKINEVILLE NSW 2043","1225000","22 July 2015","107.49","NON STRATA","No",2105887,"AJ812095","23 April 2017"
"68 ALBERT STREET, ERSKINEVILLE NSW 2043","680000","16 March 2013","101.2","NON STRATA","No",2105901,"AH759274","23 April 2017"
"37 ALBERT STREET, ERSKINEVILLE NSW 2043","830000","31 July 2013","82.2","NON STRATA","No",2105910,"AI16397","23 April 2017"
"35 ALBERT STREET, ERSKINEVILLE NSW 2043","1000000","7 June 2016","82.2","NON STRATA","No",2105911,"AK633238","23 April 2017"
"35 ALBERT STREET, ERSKINEVILLE NSW 2043","900000","17 February 2015","82.2","NON STRATA","No",2105911,"AJ379430","23 April 2017"
"22 AMY STREET, ERSKINEVILLE NSW 2043","935000","27 November 2014","124.7","NON STRATA","No",2106420,"AJ293988","23 April 2017"
"22 AMY STREET, ERSKINEVILLE NSW 2043","730000","29 November 2012","124.7","NON STRATA","No",2106420,"AH552658","23 April 2017"
