ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"31 GARDEN STREET, EVELEIGH NSW 2015","10000000","5 August 2016","290.7","NON STRATA","Yes (4)",2125985,"AK758816","23 April 2017"
"31 GARDEN STREET, EVELEIGH NSW 2015","4000000","9 March 2015","290.7","NON STRATA","Yes (4)",2125985,"AJ675276","23 April 2017"
"33 GARDEN STREET, EVELEIGH NSW 2015","10000000","5 August 2016","85","NON STRATA","Yes (4)",2125986,"AK758816","23 April 2017"
"33 GARDEN STREET, EVELEIGH NSW 2015","4000000","9 March 2015","85","NON STRATA","Yes (4)",2125986,"AJ675276","23 April 2017"
"35 HENDERSON ROAD, EVELEIGH NSW 2015","10000000","5 August 2016","278.2","NON STRATA","Yes (4)",2128298,"AK758816","23 April 2017"
"35 HENDERSON ROAD, EVELEIGH NSW 2015","4000000","9 March 2015","278.2","NON STRATA","Yes (4)",2128298,"AJ675276","23 April 2017"
"39 HENDERSON ROAD, EVELEIGH NSW 2015","10000000","5 August 2016","168.2","NON STRATA","Yes (4)",2128299,"AK758816","23 April 2017"
"39 HENDERSON ROAD, EVELEIGH NSW 2015","4000000","9 March 2015","168.2","NON STRATA","Yes (4)",2128299,"AJ675276","23 April 2017"
"119/49 HENDERSON ROAD, EVELEIGH NSW 2015","190000","2 February 2017","0","STRATA","No","3250252","AM241050","23 April 2017"
"120/49 HENDERSON ROAD, EVELEIGH NSW 2015","105000","1 December 2016","0","STRATA","No","3250253","AM61296","23 April 2017"
"77/49 HENDERSON ROAD, EVELEIGH NSW 2015","885000","7 November 2016","0","STRATA","No","3250200","AM81811","23 April 2017"
"116/49 HENDERSON ROAD, EVELEIGH NSW 2015","77000","4 November 2016","0","STRATA","No","3250249","AM44658","23 April 2017"
"20/49 HENDERSON ROAD, EVELEIGH NSW 2015","1210000","3 November 2016","0","STRATA","No","3250153","AM54964","23 April 2017"
"5/49 HENDERSON ROAD, EVELEIGH NSW 2015","1200000","13 October 2016","0","STRATA","No","3250138","AK906014","23 April 2017"
"56/49 HENDERSON ROAD, EVELEIGH NSW 2015","595000","18 May 2016","0","STRATA","No","3250181","AK577898","23 April 2017"
"59/49 HENDERSON ROAD, EVELEIGH NSW 2015","875000","6 April 2016","0","STRATA","No","3250188","AK462488","23 April 2017"
"10/49 HENDERSON ROAD, EVELEIGH NSW 2015","1030000","21 November 2015","0","STRATA","No","3250143","AK144929","23 April 2017"
"46/49 HENDERSON ROAD, EVELEIGH NSW 2015","680000","30 October 2015","0","STRATA","No","3250163","AK76380","23 April 2017"
"115/49 HENDERSON ROAD, EVELEIGH NSW 2015","900000","15 August 2015","0","STRATA","No","3250248","AJ876424","23 April 2017"
"68/49 HENDERSON ROAD, EVELEIGH NSW 2015","730000","29 July 2015","0","STRATA","No","3250230","AJ763935","23 April 2017"
"106/49 HENDERSON ROAD, EVELEIGH NSW 2015","725000","14 July 2015","0","STRATA","No","3250239","AJ795734","23 April 2017"
"74/49 HENDERSON ROAD, EVELEIGH NSW 2015","638500","21 April 2015","0","STRATA","No","3250201","AJ595750","23 April 2017"
"62/49 HENDERSON ROAD, EVELEIGH NSW 2015","732500","31 March 2015","0","STRATA","No","3250204","AJ500398","23 April 2017"
"102/49 HENDERSON ROAD, EVELEIGH NSW 2015","685000","24 March 2015","0","STRATA","No","3250235","AJ485080","23 April 2017"
"98/49 HENDERSON ROAD, EVELEIGH NSW 2015","600000","24 March 2015","0","STRATA","No","3250216","AJ487108","23 April 2017"
"73/49 HENDERSON ROAD, EVELEIGH NSW 2015","320000","2 March 2015","0","STRATA","No","3250227","AJ348521","23 April 2017"
"29/49 HENDERSON ROAD, EVELEIGH NSW 2015","771000","10 February 2015","0","STRATA","No","3250169","AJ364372","23 April 2017"
"56/49 HENDERSON ROAD, EVELEIGH NSW 2015","510000","5 February 2015","0","STRATA","No","3250181","AJ324775","23 April 2017"
"12/49 HENDERSON ROAD, EVELEIGH NSW 2015","475000","24 December 2014","0","STRATA","No","3250145","AJ265095","23 April 2017"
"75/49 HENDERSON ROAD, EVELEIGH NSW 2015","460000","10 December 2014","0","STRATA","No","3250211","AJ216492","23 April 2017"
"67/49 HENDERSON ROAD, EVELEIGH NSW 2015","660000","18 October 2014","0","STRATA","No","3250213","AJ83352","23 April 2017"
"30/49 HENDERSON ROAD, EVELEIGH NSW 2015","660000","9 October 2014","0","STRATA","No","3250170","AJ66638","23 April 2017"
"13/49 HENDERSON ROAD, EVELEIGH NSW 2015","930000","18 July 2014","0","STRATA","No","3250146","AI888195","23 April 2017"
"44/49 HENDERSON ROAD, EVELEIGH NSW 2015","708000","21 June 2014","0","STRATA","No","3250158","AI767047","23 April 2017"
"108/49 HENDERSON ROAD, EVELEIGH NSW 2015","626000","13 June 2014","0","STRATA","No","3250241","AI828170","23 April 2017"
"89/49 HENDERSON ROAD, EVELEIGH NSW 2015","620000","6 June 2014","0","STRATA","No","3250207","AI781680","23 April 2017"
"14/49 HENDERSON ROAD, EVELEIGH NSW 2015","910000","15 May 2014","0","STRATA","No","3250147","AI695471","23 April 2017"
"35/49 HENDERSON ROAD, EVELEIGH NSW 2015","631000","25 April 2014","0","STRATA","No","3250183","AI658628","23 April 2017"
"100/49 HENDERSON ROAD, EVELEIGH NSW 2015","630000","24 April 2014","0","STRATA","No","3250233","AI638657","23 April 2017"
"16/49 HENDERSON ROAD, EVELEIGH NSW 2015","842000","1 April 2014","0","STRATA","No","3250149","AI598763","23 April 2017"
