ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"19 ALBERT STREET, FOREST LODGE NSW 2037","964000","14 September 2013","202.2","NON STRATA","No",1912707,"AI298957","23 April 2017"
"27 ALBERT STREET, FOREST LODGE NSW 2037","990000","6 December 2014","126.5","NON STRATA","No",1912711,"AJ232638","23 April 2017"
"30 ALBERT STREET, FOREST LODGE NSW 2037","2100000","28 July 2015","193.3","NON STRATA","No",1912712,"AJ880417","23 April 2017"
"28 ALBERT STREET, FOREST LODGE NSW 2037","1300000","12 October 2014","153.2","NON STRATA","No",1912713,"AJ151738","23 April 2017"
"22 ALBERT STREET, FOREST LODGE NSW 2037","2150000","7 December 2016","154","NON STRATA","No",1912716,"AM116538","23 April 2017"
"10 ALBERT STREET, FOREST LODGE NSW 2037","1130000","11 June 2014","170.7","NON STRATA","No",1912722,"AI777090","23 April 2017"
"1 ALFRED ROAD, FOREST LODGE NSW 2037","903000","21 June 2014","126.5","NON STRATA","No",1913055,"AI773422","23 April 2017"
"3 ALFRED ROAD, FOREST LODGE NSW 2037","765000","1 June 2013","151.8","NON STRATA","No",1913056,"AH908679","23 April 2017"
"9 ARTHUR STREET, FOREST LODGE NSW 2037","1550000","2 March 2017","170.7","NON STRATA","No",1914187,"AM310139","23 April 2017"
"83 ARUNDEL STREET, FOREST LODGE NSW 2037","1525000","6 March 2014","183.4","NON STRATA","No",1914270,"AI545799","23 April 2017"
"85 ARUNDEL STREET, FOREST LODGE NSW 2037","1050000","19 November 2013","94.8","NON STRATA","No",1914271,"AI320333","23 April 2017"
"87 ARUNDEL STREET, FOREST LODGE NSW 2037","1560000","11 May 2016","153.1","NON STRATA","No",1914272,"AK551745","23 April 2017"
"125 ARUNDEL STREET, FOREST LODGE NSW 2037","1745000","20 October 2016","170.8","NON STRATA","No",1914293,"AM1216","23 April 2017"
"127 ARUNDEL STREET, FOREST LODGE NSW 2037","910000","19 October 2012","177","NON STRATA","No",1914294,"AH601507","23 April 2017"
"139 ARUNDEL STREET, FOREST LODGE NSW 2037","1445000","24 February 2017","178.2","NON STRATA","No",1914301,"AM304350","23 April 2017"
