ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"9 ALEXANDRA ROAD, GLEBE NSW 2037","1425000","14 September 2012","265.8","NON STRATA","No",1913011,"AH406179","30 April 2017"
"19 ALEXANDRA ROAD, GLEBE NSW 2037","2610000","20 June 2015","411","NON STRATA","No",1913016,"AJ840163","30 April 2017"
"14 ALEXANDRA ROAD, GLEBE NSW 2037","2000000","23 November 2013","412.62","NON STRATA","No",1913048,"AI412552","30 April 2017"
"8 ALLEN STREET, GLEBE NSW 2037","1810000","21 March 2016","152.8","NON STRATA","No",1913261,"AK470501","30 April 2017"
"10 ALLEN STREET, GLEBE NSW 2037","1900000","23 May 2015","154.8","NON STRATA","No",1913262,"AJ645529","30 April 2017"
"32 ALLEN STREET, GLEBE NSW 2037","2181000","23 May 2015","254.7","NON STRATA","No",1913273,"AJ679878","30 April 2017"
"48 ALLEN STREET, GLEBE NSW 2037","1300000","20 October 2012","259.3","NON STRATA","No",1913281,"AH408795","30 April 2017"
"52 ALLEN STREET, GLEBE NSW 2037","1300000","19 May 2012","240.3","NON STRATA","No",1913283,"AH88290","30 April 2017"
"33 ALLEN STREET, GLEBE NSW 2037","3600000","5 May 2015","518.5","NON STRATA","No",1913291,"AJ755705","30 April 2017"
"31 ALLEN STREET, GLEBE NSW 2037","3025000","13 September 2016","417.3","NON STRATA","No",1913292,"AM145875","30 April 2017"
"25 ALLEN STREET, GLEBE NSW 2037","1490000","12 April 2014","247.79","NON STRATA","No",1913295,"AI670777","30 April 2017"
"13 ALLEN STREET, GLEBE NSW 2037","2485000","4 May 2012","429.18","NON STRATA","No",1913301,"AH226316","30 April 2017"
"11 ARCADIA ROAD, GLEBE NSW 2037","487500","14 December 2015","354.2","NON STRATA","No",1914101,"AK402247","30 April 2017"
"47 ARCADIA ROAD, GLEBE NSW 2037","2700000","15 March 2014","314.9","NON STRATA","No",1914119,"AI657218","30 April 2017"
"28 ARCADIA ROAD, GLEBE NSW 2037","1600000","10 December 2012","221.3","NON STRATA","No",1914126,"AH466615","30 April 2017"
"14 ARCADIA ROAD, GLEBE NSW 2037","1980000","3 June 2014","290.9","NON STRATA","No",1914133,"AI844779","30 April 2017"
"25 ARUNDEL STREET, GLEBE NSW 2037","14000000","30 October 2013","2358.5","NON STRATA","No",1914247,"AI531964","30 April 2017"
"1 AVENUE ROAD, GLEBE NSW 2037","1610000","22 September 2012","268.7","NON STRATA","No",1914353,"AH385176","30 April 2017"
"11 AVENUE ROAD, GLEBE NSW 2037","4150000","27 February 2016","456.19","NON STRATA","No",1914358,"AK373833","30 April 2017"
"29A AVENUE ROAD, GLEBE NSW 2037","1175000","23 February 2013","202.3","NON STRATA","No",1914372,"AH700431","30 April 2017"
"31 AVENUE ROAD, GLEBE NSW 2037","2440000","28 February 2015","335.1","NON STRATA","No",1914374,"AJ501547","30 April 2017"
"1 AVON STREET, GLEBE NSW 2037","1650000","20 December 2012","240.3","NON STRATA","No",1914382,"AH642592","30 April 2017"
"9 AVON STREET, GLEBE NSW 2037","830000","17 November 2012","69.6","NON STRATA","No",1914387,"AH472817","30 April 2017"
