ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"16 CAMPBELL STREET, HAYMARKET NSW 2000","335000","1 June 2014","170.7","NON STRATA","No",2022396,"AI741504","30 April 2017"
"16 CAMPBELL STREET, HAYMARKET NSW 2000","536000","1 June 2014","170.7","NON STRATA","No",2022396,"AI741503","30 April 2017"
"16 CAMPBELL STREET, HAYMARKET NSW 2000","1340000","9 February 2013","170.7","NON STRATA","No",2022396,"AH744293","30 April 2017"
"16 CAMPBELL STREET, HAYMARKET NSW 2000","1139000","4 February 2013","170.7","NON STRATA","No",2022396,"AH744292","30 April 2017"
"42/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","300000","28 September 2016","0","STRATA","No","2023050","AM158616","30 April 2017"
"36/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","440000","10 June 2016","0","STRATA","No","2023044","AK633068","30 April 2017"
"19/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","298000","3 June 2016","0","STRATA","No","2023027","AK715003","30 April 2017"
"52/301A CASTLEREAGH STREET, HAYMARKET NSW 2000","236500","9 March 2016","0","STRATA","No","2023059","AK903747","30 April 2017"
"21/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","260000","16 October 2015","0","STRATA","No","2023029","AK89893","30 April 2017"
"32/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","229500","16 October 2015","0","STRATA","No","2023040","AJ951551","30 April 2017"
"41/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","405000","7 September 2015","0","STRATA","No","2023049","AJ976273","30 April 2017"
"12/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","360000","31 August 2015","0","STRATA","No","2023020","AJ929664","30 April 2017"
"16/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","315000","21 May 2015","0","STRATA","No","2023024","AJ661310","30 April 2017"
"56/301A CASTLEREAGH STREET, HAYMARKET NSW 2000","250000","18 March 2015","0","STRATA","No","2023063","AJ477209","30 April 2017"
"10/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","380000","18 December 2014","0","STRATA","No","2023018","AJ284330","30 April 2017"
"15/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","382800","24 November 2014","0","STRATA","No","2023023","AJ193312","30 April 2017"
"29/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","173000","4 June 2014","0","STRATA","No","2023037","AI704857","30 April 2017"
"20/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","230000","14 March 2014","0","STRATA","No","2023028","AI552531","30 April 2017"
"5/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","171112","25 July 2013","0","STRATA","No","2023013","AH945802","30 April 2017"
"3/301A CASTLEREAGH STREET, HAYMARKET NSW 2000","257500","31 May 2013","0","STRATA","No","2023011","AH884618","30 April 2017"
"43/301 CASTLEREAGH STREET, HAYMARKET NSW 2000","250000","10 July 2012","0","STRATA","No","2023051","AH170876","30 April 2017"
"235/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1048000","15 March 2017","0","STRATA","No","2023298","AM329905","30 April 2017"
"648/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","660000","8 March 2017","0","STRATA","No","2023706","AM276759","30 April 2017"
"71/414 PITT STREET, HAYMARKET NSW 2000","500000","21 February 2017","0","STRATA","No","2023136","AM214832","30 April 2017"
"274/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1068800","8 December 2016","0","STRATA","No","2023337","AM180967","30 April 2017"
"261/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1027500","1 December 2016","0","STRATA","No","2023324","AM131984","30 April 2017"
"309/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1078000","28 November 2016","0","STRATA","No","2023369","AM113690","30 April 2017"
"482/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","812000","25 October 2016","0","STRATA","No","2023540","AM17595","30 April 2017"
"517/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","895000","4 October 2016","0","STRATA","No","2023575","AK934468","30 April 2017"
"428/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","585000","3 October 2016","0","STRATA","No","2023487","AK981987","30 April 2017"
"243/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","740000","26 August 2016","0","STRATA","No","2023306","AK833593","30 April 2017"
"597/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","60000","8 July 2016","0","STRATA","No","2023655","AM17044","30 April 2017"
"105/414 PITT STREET, HAYMARKET NSW 2000","1220000","29 June 2016","0","STRATA","No","2023170","AK705154","30 April 2017"
"375/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1070000","1 June 2016","0","STRATA","No","2023435","AK622772","30 April 2017"
"364/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1020000","8 May 2016","0","STRATA","No","2023424","AK580317","30 April 2017"
"612/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","900000","3 May 2016","0","STRATA","No","2023670","AK578753","30 April 2017"
"481/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","425500","31 March 2016","0","STRATA","No","2023539","AK408055","30 April 2017"
"482/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","287500","24 February 2016","0","STRATA","No","2023540","AK710019","30 April 2017"
"181/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","895000","29 January 2016","0","STRATA","No","2023244","AK305956","30 April 2017"
"381/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1070000","29 January 2016","0","STRATA","No","2023441","AK270647","30 April 2017"
"468/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","410000","19 January 2016","0","STRATA","No","2023526","AK247853","30 April 2017"
"615/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","850000","8 December 2015","0","STRATA","No","2023673","AK381304","30 April 2017"
"413/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1150000","30 November 2015","0","STRATA","No","2023473","AK223387","30 April 2017"
"86/414 PITT STREET, HAYMARKET NSW 2000","1010000","30 November 2015","0","STRATA","No","2023151","AK207437","30 April 2017"
"152/414 PITT STREET, HAYMARKET NSW 2000","350000","3 November 2015","0","STRATA","No","2023217","AJ958242","30 April 2017"
"385/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1000000","31 October 2015","0","STRATA","No","2023445","AK81465","30 April 2017"
"102/414 PITT STREET, HAYMARKET NSW 2000","1130000","24 October 2015","0","STRATA","No","2023167","AK26403","30 April 2017"
"377/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1260000","18 September 2015","0","STRATA","No","2023437","AK58779","30 April 2017"
"98/414 PITT STREET, HAYMARKET NSW 2000","960000","17 September 2015","0","STRATA","No","2023163","AJ979766","30 April 2017"
"321/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","928000","11 September 2015","0","STRATA","No","2023381","AJ943461","30 April 2017"
"646/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","260000","7 September 2015","0","STRATA","No","2023704","AK17591","30 April 2017"
"100/414 PITT STREET, HAYMARKET NSW 2000","1150000","28 August 2015","0","STRATA","No","2023165","AJ898543","30 April 2017"
"110/414 PITT STREET, HAYMARKET NSW 2000","1250000","30 July 2015","0","STRATA","No","2023175","AJ801195","30 April 2017"
"428/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","560000","28 July 2015","0","STRATA","No","2023487","AJ866493","30 April 2017"
"124/414 PITT STREET, HAYMARKET NSW 2000","970000","23 July 2015","0","STRATA","No","2023189","AJ798195","30 April 2017"
"447/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","990000","20 July 2015","0","STRATA","No","2023506","AJ845836","30 April 2017"
"378/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","980000","7 July 2015","0","STRATA","No","2023438","AJ758946","30 April 2017"
"420/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","980000","22 June 2015","0","STRATA","No","2023479","AJ733264","30 April 2017"
"518/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","840000","22 June 2015","0","STRATA","No","2023576","AJ727039","30 April 2017"
"572/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","842000","18 June 2015","0","STRATA","No","2023630","AJ917081","30 April 2017"
"375/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1060000","3 June 2015","0","STRATA","No","2023435","AJ716330","30 April 2017"
"425/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1130000","2 June 2015","0","STRATA","No","2023484","AJ681268","30 April 2017"
"566/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","840000","21 May 2015","0","STRATA","No","2023624","AJ622868","30 April 2017"
"393/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1100000","19 May 2015","0","STRATA","No","2023453","AJ632043","30 April 2017"
"528/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","835000","8 May 2015","0","STRATA","No","2023586","AJ608940","30 April 2017"
"439/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","360000","30 April 2015","0","STRATA","No","2023498","AJ578908","30 April 2017"
"208/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","925000","24 April 2015","0","STRATA","No","2023271","AJ564684","30 April 2017"
"531/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","855000","18 April 2015","0","STRATA","No","2023589","AJ546217","30 April 2017"
"103/414 PITT STREET, HAYMARKET NSW 2000","1028000","13 April 2015","0","STRATA","No","2023168","AJ526533","30 April 2017"
"64/414 PITT STREET, HAYMARKET NSW 2000","870000","6 March 2015","0","STRATA","No","2023129","AJ430738","30 April 2017"
"78/414 PITT STREET, HAYMARKET NSW 2000","825000","12 February 2015","0","STRATA","No","2023143","AJ378795","30 April 2017"
"604/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","680000","14 November 2014","0","STRATA","No","2023662","AJ253317","30 April 2017"
"450/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","650000","10 November 2014","0","STRATA","No","2023509","AJ202686","30 April 2017"
"402/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","895000","20 October 2014","0","STRATA","No","2023462","AJ176006","30 April 2017"
"424/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","960000","8 October 2014","0","STRATA","No","2023483","AI999227","30 April 2017"
"532/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","660000","27 September 2014","0","STRATA","No","2023590","AJ65030","30 April 2017"
"331/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","830000","23 September 2014","0","STRATA","No","2023391","AJ49486","30 April 2017"
"60/414 PITT STREET, HAYMARKET NSW 2000","972000","3 September 2014","0","STRATA","No","2023125","AI982532","30 April 2017"
"373/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","1050000","2 September 2014","0","STRATA","No","2023433","AI978011","30 April 2017"
"464/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","462000","28 August 2014","0","STRATA","No","2023522","AI924347","30 April 2017"
"145/414 PITT STREET, HAYMARKET NSW 2000","820000","22 August 2014","0","STRATA","No","2023210","AI935912","30 April 2017"
"515/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","700000","30 July 2014","0","STRATA","No","2023573","AI888520","30 April 2017"
"470/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","315000","22 July 2014","0","STRATA","No","2023528","AI800516","30 April 2017"
"634/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","803000","18 July 2014","0","STRATA","No","2023692","AI959800","30 April 2017"
"500/303 CASTLEREAGH STREET, HAYMARKET NSW 2000","455000","2 July 2014","0","STRATA","No","2023558","AI803568","30 April 2017"
