ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"9 ALBERMARLE STREET, NEWTOWN NSW 2042","17000","14 May 2015","284.981","NON STRATA","No",1941912,"AJ642263","30 April 2017"
"9 ALBERMARLE STREET, NEWTOWN NSW 2042","1665000","21 October 2014","284.981","NON STRATA","No",1941912,"AJ94021","30 April 2017"
"13 ALBERMARLE STREET, NEWTOWN NSW 2042","760000","4 December 2012","126.5","NON STRATA","No",1941914,"AI383706","30 April 2017"
"25 ALBERMARLE STREET, NEWTOWN NSW 2042","2100000","31 August 2015","253.01","NON STRATA","No",1941916,"AK60843","30 April 2017"
"53 ALBERMARLE STREET, NEWTOWN NSW 2042","830000","20 July 2013","126.5","NON STRATA","No",1941921,"AH987595","30 April 2017"
"77 ALBERMARLE STREET, NEWTOWN NSW 2042","1016000","4 August 2015","113.8","NON STRATA","No",1941929,"AJ878413","30 April 2017"
"93 ALBERMARLE STREET, NEWTOWN NSW 2042","329300","14 March 2014","101.2","NON STRATA","No",1941937,"AI459297","30 April 2017"
"97 ALBERMARLE STREET, NEWTOWN NSW 2042","847500","8 December 2012","107.5","NON STRATA","No",1941939,"AH547605","30 April 2017"
"101 ALBERMARLE STREET, NEWTOWN NSW 2042","1350000","13 November 2015","107.5","NON STRATA","No",1941941,"AK103559","30 April 2017"
"105 ALBERMARLE STREET, NEWTOWN NSW 2042","837000","22 February 2013","107.5","NON STRATA","No",1941943,"AH665358","30 April 2017"
"109 ALBERMARLE STREET, NEWTOWN NSW 2042","900000","2 August 2014","107.5","NON STRATA","No",1941945,"AI903925","30 April 2017"
"12/26 ALBERMARLE STREET, NEWTOWN NSW 2042","550000","18 June 2016","0","STRATA","No","1941969","AK638554","30 April 2017"
"8 ALBERMARLE STREET, NEWTOWN NSW 2042","995000","7 June 2014","145.4","NON STRATA","No",1941976,"AI957992","30 April 2017"
"4 ALBERMARLE STREET, NEWTOWN NSW 2042","830000","29 June 2013","97.08","NON STRATA","No",1941978,"AH955807","30 April 2017"
"33 ALBERT STREET, NEWTOWN NSW 2042","938000","16 April 2013","113.8","NON STRATA","No",1941985,"AH836845","30 April 2017"
