ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"2 ALBERT SQUARE, PADDINGTON NSW 2021","1670000","10 May 2016","88.5","NON STRATA","No",2078397,"AK602429","23 April 2017"
"7 ALBERT SQUARE, PADDINGTON NSW 2021","2260000","10 July 2013","204.5","NON STRATA","No",2078401,"AI10558","23 April 2017"
"3 ALBERT SQUARE, PADDINGTON NSW 2021","1190000","22 February 2013","113.8","NON STRATA","No",2078403,"AH739648","23 April 2017"
"1 ALBERT SQUARE, PADDINGTON NSW 2021","880000","25 March 2014","113.8","NON STRATA","No",2078404,"AI575398","23 April 2017"
"8 ALMA STREET, PADDINGTON NSW 2021","2700000","20 December 2016","132.8","NON STRATA","No",2078453,"AM202649","23 April 2017"
"8 ALMA STREET, PADDINGTON NSW 2021","2000000","17 April 2015","132.8","NON STRATA","No",2078453,"AJ890442","23 April 2017"
"18 ALMA STREET, PADDINGTON NSW 2021","1470000","28 March 2015","195.07","NON STRATA","No",2078458,"AJ709935","23 April 2017"
"1A BATES AVENUE, PADDINGTON NSW 2021","1920000","31 May 2014","335.1","NON STRATA","No",2078999,"AI954725","23 April 2017"
"1A BATES AVENUE, PADDINGTON NSW 2021","1550000","14 September 2012","335.1","NON STRATA","No",2078999,"AH384924","23 April 2017"
"4/1 BATES AVENUE, PADDINGTON NSW 2021","582000","23 August 2012","0","STRATA","No","2079003","AH443237","23 April 2017"
"2/3 BATES AVENUE, PADDINGTON NSW 2021","320000","8 December 2014","0","STRATA","No","2079006","AJ123939","23 April 2017"
"3/3 BATES AVENUE, PADDINGTON NSW 2021","620000","9 July 2014","0","STRATA","No","2079007","AI815819","23 April 2017"
"2/8 BATES AVENUE, PADDINGTON NSW 2021","695000","3 September 2016","0","STRATA","No","2079013","AK881066","23 April 2017"
"1/8 BATES AVENUE, PADDINGTON NSW 2021","510000","18 September 2014","0","STRATA","No","2079016","AJ19571","23 April 2017"
"4/8 BATES AVENUE, PADDINGTON NSW 2021","508000","2 February 2014","0","STRATA","No","2079015","AI424490","23 April 2017"
"4 BATES AVENUE, PADDINGTON NSW 2021","2615000","7 May 2016","309.8","NON STRATA","No",2079022,"AK979142","23 April 2017"
"3 BELLEVUE AVENUE, PADDINGTON NSW 2021","1305000","15 April 2016","88.5","NON STRATA","No",2079206,"AK484864","23 April 2017"
"3 BELLEVUE AVENUE, PADDINGTON NSW 2021","855000","29 November 2013","88.5","NON STRATA","No",2079206,"AI280123","23 April 2017"
"4 BELLEVUE AVENUE, PADDINGTON NSW 2021","910000","23 July 2013","94.9","NON STRATA","No",2079207,"AH991066","23 April 2017"
"1 BELMORE PLACE, PADDINGTON NSW 2021","3000000","14 August 2013","299.2","NON STRATA","No",2079921,"AI90472","23 April 2017"
"13/8 BENNETTS GROVE AVENUE, PADDINGTON NSW 2021","891000","22 February 2016","0","STRATA","No","2080097","AK347371","23 April 2017"
"27/8 BENNETTS GROVE AVENUE, PADDINGTON NSW 2021","595000","17 April 2013","0","STRATA","No","2080111","AH780132","23 April 2017"
"12/8 BENNETTS GROVE AVENUE, PADDINGTON NSW 2021","549000","11 March 2013","0","STRATA","No","2080096","AH739658","23 April 2017"
"180 BOUNDARY STREET, PADDINGTON NSW 2021","984000","22 August 2012","94.8","NON STRATA","No",2081134,"AH297900","23 April 2017"
"162 BOUNDARY STREET, PADDINGTON NSW 2021","1370000","16 May 2014","120.1","NON STRATA","No",2081143,"AI714552","23 April 2017"
"162 BOUNDARY STREET, PADDINGTON NSW 2021","1235000","28 September 2012","120.1","NON STRATA","No",2081143,"AH372701","23 April 2017"
"158 BOUNDARY STREET, PADDINGTON NSW 2021","1751000","7 March 2016","113.8","NON STRATA","No",2081146,"AK387968","23 April 2017"
"158 BOUNDARY STREET, PADDINGTON NSW 2021","955000","20 March 2014","113.8","NON STRATA","No",2081146,"AI689673","23 April 2017"
"156 BOUNDARY STREET, PADDINGTON NSW 2021","1301000","1 March 2014","126.5","NON STRATA","No",2081147,"AI529575","23 April 2017"
"150 BOUNDARY STREET, PADDINGTON NSW 2021","1280000","28 May 2013","151.8","NON STRATA","Yes (2)",2081150,"AI327313","23 April 2017"
"140 BOUNDARY STREET, PADDINGTON NSW 2021","1336000","29 January 2015","135","NON STRATA","No",2081158,"AJ445057","23 April 2017"
"134 BOUNDARY STREET, PADDINGTON NSW 2021","1491000","10 March 2015","131","NON STRATA","No",2081161,"AJ575560","23 April 2017"
"130 BOUNDARY STREET, PADDINGTON NSW 2021","2000000","18 November 2016","113.8","NON STRATA","No",2081163,"AM301916","23 April 2017"
"118 BOUNDARY STREET, PADDINGTON NSW 2021","1915000","7 April 2015","113.8","NON STRATA","No",2081169,"AJ481640","23 April 2017"
"118 BOUNDARY STREET, PADDINGTON NSW 2021","1275000","5 July 2013","113.8","NON STRATA","No",2081169,"AH976692","23 April 2017"
"106 BOUNDARY STREET, PADDINGTON NSW 2021","1410000","27 March 2015","139.1","NON STRATA","No",2081176,"AJ730892","23 April 2017"
"96 BOUNDARY STREET, PADDINGTON NSW 2021","1510000","25 November 2014","126.5","NON STRATA","No",2081181,"AJ258222","23 April 2017"
"92 BOUNDARY STREET, PADDINGTON NSW 2021","1550000","8 December 2012","145.4","NON STRATA","No",2081183,"AH620994","23 April 2017"
"90 BOUNDARY STREET, PADDINGTON NSW 2021","2050000","10 November 2015","139.1","NON STRATA","No",2081184,"AK133484","23 April 2017"
"88 BOUNDARY STREET, PADDINGTON NSW 2021","1500000","29 July 2013","126.5","NON STRATA","No",2081185,"AI13412","23 April 2017"
"78 BOUNDARY STREET, PADDINGTON NSW 2021","1521500","24 March 2014","126.5","NON STRATA","No",2081190,"AI562490","23 April 2017"
"74 BOUNDARY STREET, PADDINGTON NSW 2021","1673000","25 November 2013","132.8","NON STRATA","No",2081192,"AI269327","23 April 2017"
"64 BOUNDARY STREET, PADDINGTON NSW 2021","1975000","16 November 2015","126.5","NON STRATA","No",2081197,"AK118868","23 April 2017"
"62 BOUNDARY STREET, PADDINGTON NSW 2021","1775000","6 June 2014","126.5","NON STRATA","No",2081198,"AI741851","23 April 2017"
"52 BOUNDARY STREET, PADDINGTON NSW 2021","2250000","9 March 2016","145.4","NON STRATA","No",2081203,"AK378114","23 April 2017"
"50 BOUNDARY STREET, PADDINGTON NSW 2021","1250000","28 September 2013","126.5","NON STRATA","No",2081204,"AI153964","23 April 2017"
"44 BOUNDARY STREET, PADDINGTON NSW 2021","1692000","18 April 2015","139.1","NON STRATA","No",2081207,"AJ560429","23 April 2017"
"44 BOUNDARY STREET, PADDINGTON NSW 2021","1521000","10 September 2013","139.1","NON STRATA","No",2081207,"AI154898","23 April 2017"
"36 BOUNDARY STREET, PADDINGTON NSW 2021","1625000","3 June 2016","126.8","NON STRATA","No",2081211,"AK750046","23 April 2017"
"34 BOUNDARY STREET, PADDINGTON NSW 2021","2450000","17 September 2014","177","NON STRATA","No",2081212,"AI948672","23 April 2017"
"24 BOUNDARY STREET, PADDINGTON NSW 2021","900000","19 March 2014","253","NON STRATA","No",2081216,"AI747823","23 April 2017"
"24 BOUNDARY STREET, PADDINGTON NSW 2021","1250000","19 March 2014","253","NON STRATA","No",2081216,"AI747822","23 April 2017"
"22 BOUNDARY STREET, PADDINGTON NSW 2021","1585000","16 February 2016","120.1","NON STRATA","No",2081217,"AK325591","23 April 2017"
"14 BOUNDARY STREET, PADDINGTON NSW 2021","1675000","24 June 2015","113.8","NON STRATA","No",2081221,"AJ751787","23 April 2017"
"12 BOUNDARY STREET, PADDINGTON NSW 2021","2080000","8 February 2016","113.8","NON STRATA","No",2081222,"AK450567","23 April 2017"
"6 BOUNDARY STREET, PADDINGTON NSW 2021","1570000","19 September 2014","113.8","NON STRATA","No",2081225,"AJ6321","23 April 2017"
"8/4 YOUNG STREET, PADDINGTON NSW 2021","1577000","8 November 2016","0","STRATA","No","2081293","AM94194","23 April 2017"
"16/4 YOUNG STREET, PADDINGTON NSW 2021","977000","8 August 2016","0","STRATA","No","2081304","AK792503","23 April 2017"
"1/4 YOUNG STREET, PADDINGTON NSW 2021","1920000","4 July 2016","0","STRATA","No","2081286","AK714386","23 April 2017"
"7/4 YOUNG STREET, PADDINGTON NSW 2021","860000","31 May 2016","0","STRATA","No","2081292","AK555900","23 April 2017"
"2/4 YOUNG STREET, PADDINGTON NSW 2021","1650000","30 November 2015","0","STRATA","No","2081287","AK171660","23 April 2017"
"11/4 YOUNG STREET, PADDINGTON NSW 2021","1300000","10 November 2015","0","STRATA","No","2081296","AK126546","23 April 2017"
"12/1 BRODIE STREET, PADDINGTON NSW 2021","740000","14 October 2015","0","STRATA","No","2081327","AK28463","23 April 2017"
"3/1 BRODIE STREET, PADDINGTON NSW 2021","745000","16 September 2015","0","STRATA","No","2081318","AK15515","23 April 2017"
"13/1 BRODIE STREET, PADDINGTON NSW 2021","770000","28 July 2015","0","STRATA","No","2081328","AJ796585","23 April 2017"
"56/1 BRODIE STREET, PADDINGTON NSW 2021","1091000","20 November 2014","0","STRATA","No","3652675","AJ155139","23 April 2017"
"21/4 YOUNG STREET, PADDINGTON NSW 2021","2900000","9 November 2014","0","STRATA","No","2081306","AJ191782","23 April 2017"
"49/1 BRODIE STREET, PADDINGTON NSW 2021","1092000","14 February 2014","0","STRATA","Yes (2)","2081334","AI439459","23 April 2017"
