ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"3G/6 MACLEAY STREET, POTTS POINT NSW 2011","860000","12 September 2016","0","STRATA","No","2034803","AK875699","30 April 2017"
"2E/6 MACLEAY STREET, POTTS POINT NSW 2011","1140000","30 April 2016","0","STRATA","No","2034796","AK535270","30 April 2017"
"5F/6 MACLEAY STREET, POTTS POINT NSW 2011","850000","21 September 2015","0","STRATA","No","2034811","AK4346","30 April 2017"
"3F/6 MACLEAY STREET, POTTS POINT NSW 2011","850000","16 August 2015","0","STRATA","No","2034802","AJ938250","30 April 2017"
"2D/6 MACLEAY STREET, POTTS POINT NSW 2011","985000","18 September 2014","0","STRATA","No","2034795","AJ36851","30 April 2017"
"1D/6 MACLEAY STREET, POTTS POINT NSW 2011","805000","3 April 2014","0","STRATA","No","2034790","AI719893","30 April 2017"
"1B/6 MACLEAY STREET, POTTS POINT NSW 2011","985000","21 March 2014","0","STRATA","No","2034788","AJ57887","30 April 2017"
"6D/6 MACLEAY STREET, POTTS POINT NSW 2011","950000","5 November 2013","0","STRATA","No","2034813","AI241862","30 April 2017"
"1C/6 MACLEAY STREET, POTTS POINT NSW 2011","770000","23 October 2013","0","STRATA","No","2034789","AI219364","30 April 2017"
"5D/6 MACLEAY STREET, POTTS POINT NSW 2011","785000","10 August 2012","0","STRATA","No","2034809","AH379866","30 April 2017"
"6G/6 MACLEAY STREET, POTTS POINT NSW 2011","560000","14 June 2012","0","STRATA","No","2034816","AH136059","30 April 2017"
"15/8 MACLEAY STREET, POTTS POINT NSW 2011","535000","10 March 2017","0","STRATA","No","2034836","AM294113","30 April 2017"
"11/8 MACLEAY STREET, POTTS POINT NSW 2011","780000","6 October 2016","0","STRATA","Yes (2)","2034832","AK964892","30 April 2017"
"11/8 MACLEAY STREET, POTTS POINT NSW 2011","780000","6 October 2016","0","STRATA","Yes (2)","2034888","AK964892","30 April 2017"
"31/8 MACLEAY STREET, POTTS POINT NSW 2011","1020000","17 September 2015","0","STRATA","Yes (2)","2034852","AJ981743","30 April 2017"
"75/8 MACLEAY STREET, POTTS POINT NSW 2011","1020000","17 September 2015","0","STRATA","Yes (2)","2034896","AJ981743","30 April 2017"
"79/8 MACLEAY STREET, POTTS POINT NSW 2011","155000","3 August 2015","0","STRATA","No","2034900","AJ919050","30 April 2017"
"10/8 MACLEAY STREET, POTTS POINT NSW 2011","875000","16 July 2015","0","STRATA","Yes (3)","2034831","AJ867079","30 April 2017"
"45/8 MACLEAY STREET, POTTS POINT NSW 2011","875000","16 July 2015","0","STRATA","Yes (3)","2034866","AJ867079","30 April 2017"
"46/8 MACLEAY STREET, POTTS POINT NSW 2011","875000","16 July 2015","0","STRATA","Yes (3)","2034867","AJ867079","30 April 2017"
"27/8 MACLEAY STREET, POTTS POINT NSW 2011","465000","14 July 2015","0","STRATA","No","2034848","AJ772829","30 April 2017"
"25/8 MACLEAY STREET, POTTS POINT NSW 2011","1000000","24 June 2015","0","STRATA","Yes (2)","2034846","AJ714289","30 April 2017"
"69/8 MACLEAY STREET, POTTS POINT NSW 2011","1000000","24 June 2015","0","STRATA","Yes (2)","2034890","AJ714289","30 April 2017"
"18/8 MACLEAY STREET, POTTS POINT NSW 2011","460000","30 April 2015","0","STRATA","No","2034839","AJ583160","30 April 2017"
"37/8 MACLEAY STREET, POTTS POINT NSW 2011","1040000","26 February 2015","0","STRATA","Yes (2)","2034858","AJ412105","30 April 2017"
"41/8 MACLEAY STREET, POTTS POINT NSW 2011","720000","26 February 2015","0","STRATA","No","2034862","AJ440090","30 April 2017"
"48/8 MACLEAY STREET, POTTS POINT NSW 2011","1040000","26 February 2015","0","STRATA","Yes (2)","2034869","AJ412105","30 April 2017"
"21/8 MACLEAY STREET, POTTS POINT NSW 2011","85000","4 April 2014","0","STRATA","Yes (2)","2034886","AI608299","30 April 2017"
"21/8 MACLEAY STREET, POTTS POINT NSW 2011","85000","4 April 2014","0","STRATA","Yes (2)","2034887","AI608299","30 April 2017"
"51/8 MACLEAY STREET, POTTS POINT NSW 2011","16000","29 November 2013","0","STRATA","Yes (2)","2034872","AI210443","30 April 2017"
"52/8 MACLEAY STREET, POTTS POINT NSW 2011","16000","29 November 2013","0","STRATA","Yes (2)","2034873","AI210443","30 April 2017"
"21/8 MACLEAY STREET, POTTS POINT NSW 2011","365000","27 September 2013","0","STRATA","No","2034842","AI163914","30 April 2017"
"43/8 MACLEAY STREET, POTTS POINT NSW 2011","3000000","7 August 2013","0","STRATA","Yes (5)","2034864","AI376748","30 April 2017"
"44/8 MACLEAY STREET, POTTS POINT NSW 2011","3000000","7 August 2013","0","STRATA","Yes (5)","2034865","AI376748","30 April 2017"
"53/8 MACLEAY STREET, POTTS POINT NSW 2011","3000000","7 August 2013","0","STRATA","Yes (5)","2034874","AI376748","30 April 2017"
"54/8 MACLEAY STREET, POTTS POINT NSW 2011","3000000","7 August 2013","0","STRATA","Yes (5)","2034875","AI376748","30 April 2017"
"55/8 MACLEAY STREET, POTTS POINT NSW 2011","3000000","7 August 2013","0","STRATA","Yes (5)","2034876","AI376748","30 April 2017"
"32/8 MACLEAY STREET, POTTS POINT NSW 2011","550000","7 June 2013","0","STRATA","Yes (2)","2034853","AH918917","30 April 2017"
"47/8 MACLEAY STREET, POTTS POINT NSW 2011","550000","7 June 2013","0","STRATA","Yes (2)","2034868","AH918917","30 April 2017"
"35/8 MACLEAY STREET, POTTS POINT NSW 2011","650000","18 March 2013","0","STRATA","Yes (2)","2034856","AH734234","30 April 2017"
"50/8 MACLEAY STREET, POTTS POINT NSW 2011","650000","18 March 2013","0","STRATA","Yes (2)","2034871","AH734234","30 April 2017"
"79/8 MACLEAY STREET, POTTS POINT NSW 2011","90000","25 February 2013","0","STRATA","No","2034900","AH649736","30 April 2017"
"4/8 MACLEAY STREET, POTTS POINT NSW 2011","570000","15 February 2013","0","STRATA","No","2034825","AH686327","30 April 2017"
"26/8 MACLEAY STREET, POTTS POINT NSW 2011","508000","12 February 2013","0","STRATA","No","2034847","AH644154","30 April 2017"
"41/8 MACLEAY STREET, POTTS POINT NSW 2011","580000","20 November 2012","0","STRATA","No","2034862","AH474757","30 April 2017"
"6/8 MACLEAY STREET, POTTS POINT NSW 2011","380000","12 October 2012","0","STRATA","No","2034827","AH395309","30 April 2017"
"73/4 MACLEAY STREET, POTTS POINT NSW 2011","1150000","3 November 2016","0","STRATA","No","2034979","AM113660","30 April 2017"
"78/4 MACLEAY STREET, POTTS POINT NSW 2011","832000","29 September 2016","0","STRATA","No","2034984","AK934896","30 April 2017"
"45/4 MACLEAY STREET, POTTS POINT NSW 2011","600000","29 January 2016","0","STRATA","No","2034957","AK358599","30 April 2017"
"18/4 MACLEAY STREET, POTTS POINT NSW 2011","807000","23 July 2015","0","STRATA","No","2034935","AJ811127","30 April 2017"
"22/4 MACLEAY STREET, POTTS POINT NSW 2011","795000","10 July 2015","0","STRATA","No","2034946","AJ752633","30 April 2017"
"77/4 MACLEAY STREET, POTTS POINT NSW 2011","865000","7 July 2015","0","STRATA","No","2034983","AJ773177","30 April 2017"
"6/4 MACLEAY STREET, POTTS POINT NSW 2011","605000","6 July 2015","0","STRATA","No","2034924","AJ729238","30 April 2017"
"9/4 MACLEAY STREET, POTTS POINT NSW 2011","780000","27 November 2014","0","STRATA","No","2034927","AJ253051","30 April 2017"
"44/4 MACLEAY STREET, POTTS POINT NSW 2011","456000","16 October 2014","0","STRATA","No","2034956","AJ73008","30 April 2017"
"25/4 MACLEAY STREET, POTTS POINT NSW 2011","645000","10 October 2014","0","STRATA","No","2034941","AJ93640","30 April 2017"
"12/4 MACLEAY STREET, POTTS POINT NSW 2011","495000","13 May 2014","0","STRATA","No","2034937","AI694282","30 April 2017"
