ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"146 ABERCROMBIE STREET, REDFERN NSW 2016","4100000","26 September 2014","187.7","NON STRATA","Yes (2)",2105447,"AJ174180","30 April 2017"
"148 ABERCROMBIE STREET, REDFERN NSW 2016","4100000","26 September 2014","128.6","NON STRATA","Yes (2)",2105448,"AJ174180","30 April 2017"
"162 ABERCROMBIE STREET, REDFERN NSW 2016","1142000","17 December 2016","73.51","NON STRATA","No",2105454,"AM161241","30 April 2017"
"178 ABERCROMBIE STREET, REDFERN NSW 2016","1080000","30 July 2016","76.51","NON STRATA","No",2105462,"AK762901","30 April 2017"
"180 ABERCROMBIE STREET, REDFERN NSW 2016","840000","16 August 2014","74.3","NON STRATA","No",2105463,"AI943142","30 April 2017"
"214 ABERCROMBIE STREET, REDFERN NSW 2016","869000","16 July 2014","82.2","NON STRATA","No",2105480,"AI858702","30 April 2017"
"220 ABERCROMBIE STREET, REDFERN NSW 2016","1400000","8 August 2015","82.2","NON STRATA","No",2105483,"AJ913171","30 April 2017"
"220 ABERCROMBIE STREET, REDFERN NSW 2016","801000","5 April 2014","82.2","NON STRATA","No",2105483,"AI624392","30 April 2017"
"222 ABERCROMBIE STREET, REDFERN NSW 2016","880000","25 September 2013","88.5","NON STRATA","No",2105484,"AI161165","30 April 2017"
"230 ABERCROMBIE STREET, REDFERN NSW 2016","1116000","13 June 2015","75.9","NON STRATA","No",2105488,"AJ727889","30 April 2017"
"14/252 ABERCROMBIE STREET, REDFERN NSW 2016","648000","2 October 2014","0","STRATA","No","2105513","AJ56125","30 April 2017"
"3/252 ABERCROMBIE STREET, REDFERN NSW 2016","500000","14 December 2013","0","STRATA","No","2105502","AI339041","30 April 2017"
"2/252 ABERCROMBIE STREET, REDFERN NSW 2016","520000","13 September 2013","0","STRATA","No","2105501","AI136459","30 April 2017"
