ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"3 BERRY STREET, ROSEBERY NSW 2018","1170500","12 March 2016","230.9","NON STRATA","No",1884299,"AK376790","23 April 2017"
"19 BERRY STREET, ROSEBERY NSW 2018","1945000","6 August 2016","413","NON STRATA","No",1884307,"AK913700","23 April 2017"
"4 BERRY STREET, ROSEBERY NSW 2018","1860000","16 June 2016","400","NON STRATA","No",1884328,"AK686271","23 April 2017"
"4 BERRY STREET, ROSEBERY NSW 2018","1524000","27 September 2014","400","NON STRATA","No",1884328,"AJ41502","23 April 2017"
"1005 BOTANY ROAD, ROSEBERY NSW 2018","2500000","20 April 2016","436.3","NON STRATA","No",1885069,"AK471820","23 April 2017"
"1003 BOTANY ROAD, ROSEBERY NSW 2018","1100000","3 July 2013","278.2","NON STRATA","No",1885070,"AH902938","23 April 2017"
"1001 BOTANY ROAD, ROSEBERY NSW 2018","1675000","25 March 2014","521.6","NON STRATA","No",1885071,"AI584243","23 April 2017"
"1/937 BOTANY ROAD, ROSEBERY NSW 2018","342000","1 July 2013","0","STRATA","No","1885106","AH954536","23 April 2017"
"3/937 BOTANY ROAD, ROSEBERY NSW 2018","305000","7 February 2013","0","STRATA","No","1885096","AH613253","23 April 2017"
"925 BOTANY ROAD, ROSEBERY NSW 2018","3270000","4 April 2016","347.7","NON STRATA","No",1885108,"AK457162","23 April 2017"
"72/919 BOTANY ROAD, ROSEBERY NSW 2018","720000","28 February 2017","0","STRATA","No","1885181","AM297363","23 April 2017"
"48/919 BOTANY ROAD, ROSEBERY NSW 2018","625000","4 November 2016","0","STRATA","No","1885157","AM123565","23 April 2017"
"14/919 BOTANY ROAD, ROSEBERY NSW 2018","596000","1 March 2016","0","STRATA","No","1885123","AK364756","23 April 2017"
"16/919 BOTANY ROAD, ROSEBERY NSW 2018","590000","21 December 2015","0","STRATA","No","1885125","AK202133","23 April 2017"
"11/919 BOTANY ROAD, ROSEBERY NSW 2018","307500","17 December 2015","0","STRATA","No","1885120","AK117462","23 April 2017"
"26/919 BOTANY ROAD, ROSEBERY NSW 2018","620000","19 October 2015","0","STRATA","No","1885135","AK6976","23 April 2017"
"10/919 BOTANY ROAD, ROSEBERY NSW 2018","600000","2 September 2015","0","STRATA","No","1885119","AJ918900","23 April 2017"
"80/919 BOTANY ROAD, ROSEBERY NSW 2018","600000","27 July 2015","0","STRATA","No","1885189","AJ825845","23 April 2017"
"63/919 BOTANY ROAD, ROSEBERY NSW 2018","615000","11 April 2015","0","STRATA","No","1885172","AJ543476","23 April 2017"
"38/919 BOTANY ROAD, ROSEBERY NSW 2018","515000","31 October 2014","0","STRATA","No","1885147","AJ155494","23 April 2017"
"30/919 BOTANY ROAD, ROSEBERY NSW 2018","505000","25 September 2014","0","STRATA","No","1885139","AJ149677","23 April 2017"
"22/919 BOTANY ROAD, ROSEBERY NSW 2018","509000","5 April 2014","0","STRATA","No","1885131","AI632753","23 April 2017"
"88/919 BOTANY ROAD, ROSEBERY NSW 2018","530000","6 November 2013","0","STRATA","No","1885197","AI271479","23 April 2017"
"61/919 BOTANY ROAD, ROSEBERY NSW 2018","455000","13 June 2013","0","STRATA","No","1885170","AH915626","23 April 2017"
"11/919 BOTANY ROAD, ROSEBERY NSW 2018","450000","6 June 2013","0","STRATA","No","1885120","AH907739","23 April 2017"
"84/919 BOTANY ROAD, ROSEBERY NSW 2018","430000","26 April 2013","0","STRATA","No","1885193","AH809261","23 April 2017"
