ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"1 MCLACHLAN AVENUE, RUSHCUTTERS BAY NSW 2011","10000000","13 June 2014","701.9","NON STRATA","No",2107544,"AI990515","23 April 2017"
"1/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","438888","16 February 2015","0","STRATA","No","2107555","AJ379138","23 April 2017"
"4/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","445000","14 April 2014","0","STRATA","No","2107549","AI633277","23 April 2017"
"9/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","550000","8 February 2014","0","STRATA","No","2107554","AI472931","23 April 2017"
"8/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","385000","18 January 2013","0","STRATA","No","2107553","AH581659","23 April 2017"
"1/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","400000","29 April 2014","0","STRATA","No","2107568","AI610888","23 April 2017"
"3/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","413000","16 October 2013","0","STRATA","No","2107571","AI212212","23 April 2017"
"2/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","450000","12 July 2013","0","STRATA","No","2107570","AH960877","23 April 2017"
"5/40A BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","480000","31 October 2016","0","STRATA","No","2107583","AM98240","23 April 2017"
"4/40A BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","360000","29 August 2015","0","STRATA","No","2107582","AJ895273","23 April 2017"
"1/40A BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","360000","14 April 2015","0","STRATA","No","2107591","AJ511636","23 April 2017"
"2/40A BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","336000","1 March 2013","0","STRATA","No","2107580","AH657242","23 April 2017"
"11/40A BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","400000","22 February 2013","0","STRATA","No","2107589","AH643435","23 April 2017"
"13/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","385000","11 March 2016","0","STRATA","No","2107604","AK383476","23 April 2017"
"7/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","391000","8 February 2016","0","STRATA","No","2107598","AK317014","23 April 2017"
"8/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","336000","6 June 2015","0","STRATA","No","2107599","AJ688391","23 April 2017"
"9/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","320000","17 April 2014","0","STRATA","No","2107600","AI598655","23 April 2017"
"5/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","235000","30 July 2013","0","STRATA","No","2107596","AH928470","23 April 2017"
"2/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","235000","4 February 2013","0","STRATA","No","2107593","AH675730","23 April 2017"
"4/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","235000","30 January 2013","0","STRATA","No","2107595","AH618559","23 April 2017"
"16/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","500000","24 February 2015","0","STRATA","No","2107624","AJ395215","23 April 2017"
"15/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","380000","25 September 2013","0","STRATA","No","2107623","AI152514","23 April 2017"
"7/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","565000","26 October 2016","0","STRATA","No","2107632","AK957596","23 April 2017"
"5/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","545000","11 April 2016","0","STRATA","No","2107630","AK469598","23 April 2017"
"4/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","505000","22 April 2015","0","STRATA","No","2107629","AJ581688","23 April 2017"
"9/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","540000","3 February 2015","0","STRATA","No","2107634","AJ353171","23 April 2017"
"6/42 BAYSWATER ROAD, RUSHCUTTERS BAY NSW 2011","515000","24 September 2014","0","STRATA","No","2107631","AJ28460","23 April 2017"
