ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"45 ALBERT STREET, ST PETERS NSW 2044","1081625","14 April 2016","309.9","NON STRATA","No",1942072,"AK853538","23 April 2017"
"41 ALBERT STREET, ST PETERS NSW 2044","1100000","5 August 2015","246.6","NON STRATA","No",1942074,"AJ856531","23 April 2017"
"37 ALBERT STREET, ST PETERS NSW 2044","1972511","20 August 2015","771.5","NON STRATA","No",1942075,"AK712782","23 April 2017"
"35 ALBERT STREET, ST PETERS NSW 2044","1444753","19 February 2016","245.8","NON STRATA","No",1942076,"AK310459","23 April 2017"
"33 ALBERT STREET, ST PETERS NSW 2044","1401169","22 December 2015","247.9","NON STRATA","No",1942077,"AK168377","23 April 2017"
"31 ALBERT STREET, ST PETERS NSW 2044","1451017","2 March 2016","217.1","NON STRATA","No",1942078,"AK329670","23 April 2017"
"19 ALBERT STREET, ST PETERS NSW 2044","1850420","23 December 2015","515.4","NON STRATA","Yes (2)",1942079,"AK182171","23 April 2017"
"17 ALBERT STREET, ST PETERS NSW 2044","1850420","23 December 2015","536.4","NON STRATA","Yes (2)",1942080,"AK182171","23 April 2017"
"2 ALFRED STREET, ST PETERS NSW 2044","740000","13 April 2013","240.3","NON STRATA","No",1942118,"AH770977","23 April 2017"
"6 ALFRED STREET, ST PETERS NSW 2044","550000","24 August 2012","278.6","NON STRATA","No",1942120,"AH237864","23 April 2017"
"8 ALFRED STREET, ST PETERS NSW 2044","1150000","2 August 2015","185.9","NON STRATA","No",1942121,"AJ865425","23 April 2017"
"45 ALFRED STREET, ST PETERS NSW 2044","1210000","21 May 2016","234","NON STRATA","No",1942137,"AK582609","23 April 2017"
"45 ALFRED STREET, ST PETERS NSW 2044","905000","24 July 2013","234","NON STRATA","No",1942137,"AH979027","23 April 2017"
"45 ALFRED STREET, ST PETERS NSW 2044","501000","4 October 2012","234","NON STRATA","No",1942137,"AH337455","23 April 2017"
"39 ALFRED STREET, ST PETERS NSW 2044","1200000","31 August 2016","235.5","NON STRATA","No",1942139,"AK859107","23 April 2017"
"31 ALFRED STREET, ST PETERS NSW 2044","1188500","8 February 2014","464.515","NON STRATA","No",1942142,"AI550075","23 April 2017"
"25 ALFRED STREET, ST PETERS NSW 2044","2750000","26 March 2015","455.3","NON STRATA","Yes (2)",1942143,"AJ627534","23 April 2017"
"23 ALFRED STREET, ST PETERS NSW 2044","2750000","26 March 2015","404.7","NON STRATA","Yes (2)",1942144,"AJ627534","23 April 2017"
"11 BARWON PARK ROAD, ST PETERS NSW 2044","700000","13 September 2012","177","NON STRATA","No",1943421,"AH417130","23 April 2017"
"39 BARWON PARK ROAD, ST PETERS NSW 2044","1580000","14 August 2014","322.5","NON STRATA","No",1943428,"AJ123808","23 April 2017"
"45 BARWON PARK ROAD, ST PETERS NSW 2044","466667","21 June 2012","352.3","NON STRATA","No",1943430,"AH71523","23 April 2017"
"1 BROWN STREET, ST PETERS NSW 2044","1612600","22 May 2015","271.9","NON STRATA","No",1944343,"AJ588086","23 April 2017"
"1 BROWN STREET, ST PETERS NSW 2044","680000","14 June 2012","271.9","NON STRATA","No",1944343,"AH149515","23 April 2017"
"19 BROWN STREET, ST PETERS NSW 2044","1295000","10 December 2016","271.06","NON STRATA","No",1944352,"AM225841","23 April 2017"
"25 BROWN STREET, ST PETERS NSW 2044","490000","21 October 2015","271.43","NON STRATA","No",1944355,"AJ948040","23 April 2017"
"33 BROWN STREET, ST PETERS NSW 2044","822000","13 November 2015","227.6","NON STRATA","No",1944356,"AK54574","23 April 2017"
"33 BROWN STREET, ST PETERS NSW 2044","350000","29 October 2012","227.6","NON STRATA","No",1944356,"AH461694","23 April 2017"
"47 BROWN STREET, ST PETERS NSW 2044","680000","31 October 2013","145.4","NON STRATA","No",1944362,"AI208414","23 April 2017"
"51 BROWN STREET, ST PETERS NSW 2044","950000","23 April 2016","150.2","NON STRATA","No",1944364,"AK537544","23 April 2017"
"53 BROWN STREET, ST PETERS NSW 2044","1280000","26 August 2016","126.5","NON STRATA","No",1944365,"AK804034","23 April 2017"
"59 BROWN STREET, ST PETERS NSW 2044","1100000","3 September 2016","149","NON STRATA","No",1944368,"AK864648","23 April 2017"
"61 BROWN STREET, ST PETERS NSW 2044","1010000","1 September 2015","158.8","NON STRATA","No",1944369,"AJ963648","23 April 2017"
"63 BROWN STREET, ST PETERS NSW 2044","730000","9 July 2013","313.6","NON STRATA","No",1944370,"AH948294","23 April 2017"
"68 BROWN STREET, ST PETERS NSW 2044","963000","12 November 2013","404.6","NON STRATA","No",1944376,"AI385074","23 April 2017"
"50 BROWN STREET, ST PETERS NSW 2044","815000","27 October 2012","426.4","NON STRATA","No",1944382,"AH441465","23 April 2017"
"42 BROWN STREET, ST PETERS NSW 2044","1155000","17 March 2015","191.2","NON STRATA","No",1944386,"AJ599381","23 April 2017"
"6 BROWN STREET, ST PETERS NSW 2044","1142445","3 August 2015","183.3","NON STRATA","No",1944400,"AJ766363","23 April 2017"
"4 BROWN STREET, ST PETERS NSW 2044","1250000","19 July 2014","354.1","NON STRATA","No",1944401,"AI876529","23 April 2017"
"7 BURROWS S ROAD, ST PETERS NSW 2044","2700000","12 November 2012","1526","NON STRATA","No",1944529,"AH423866","23 April 2017"
"11 BURROWS S ROAD, ST PETERS NSW 2044","6050000","18 October 2016","1801","NON STRATA","No",1944531,"AM196443","23 April 2017"
"2/13 BURROWS S ROAD, ST PETERS NSW 2044","500000","13 October 2015","0","STRATA","No","1944534","AK30722","23 April 2017"
"1/13 BURROWS S ROAD, ST PETERS NSW 2044","670000","13 June 2014","0","STRATA","No","1944533","AI839298","23 April 2017"
"21 BURROWS S ROAD, ST PETERS NSW 2044","2950000","30 April 2014","1505","NON STRATA","No",1944547,"AI832546","23 April 2017"
"23 BURROWS S ROAD, ST PETERS NSW 2044","1650000","26 October 2015","1404","NON STRATA","No",1944548,"AK61514","23 April 2017"
"148 CAMPBELL STREET, ST PETERS NSW 2044","1138700","30 October 2015","252.9","NON STRATA","No",1945022,"AK73560","23 April 2017"
"134 CAMPBELL STREET, ST PETERS NSW 2044","1714287","30 October 2015","398","NON STRATA","No",1945023,"AK178551","23 April 2017"
"132 CAMPBELL STREET, ST PETERS NSW 2044","2613775","2 April 2015","619.7","NON STRATA","No",1945024,"AJ518052","23 April 2017"
"130 CAMPBELL STREET, ST PETERS NSW 2044","1621592","18 June 2015","390","NON STRATA","No",1945025,"AJ941262","23 April 2017"
"128 CAMPBELL STREET, ST PETERS NSW 2044","1408963","16 December 2015","240.2","NON STRATA","No",1945026,"AK120116","23 April 2017"
"122 CAMPBELL STREET, ST PETERS NSW 2044","969600","27 October 2015","164.4","NON STRATA","No",1945029,"AJ972479","23 April 2017"
"122 CAMPBELL STREET, ST PETERS NSW 2044","560000","27 February 2013","164.4","NON STRATA","No",1945029,"AH668328","23 April 2017"
"120 CAMPBELL STREET, ST PETERS NSW 2044","1030787","15 February 2016","164.4","NON STRATA","No",1945030,"AK280766","23 April 2017"
"120 CAMPBELL STREET, ST PETERS NSW 2044","625000","1 November 2013","164.4","NON STRATA","No",1945030,"AI257791","23 April 2017"
"104 CAMPBELL STREET, ST PETERS NSW 2044","1610413","18 April 2016","366.7","NON STRATA","No",1945032,"AK865897","23 April 2017"
"102 CAMPBELL STREET, ST PETERS NSW 2044","1029120","20 April 2016","202.3","NON STRATA","No",1945033,"AK522566","23 April 2017"
"100 CAMPBELL STREET, ST PETERS NSW 2044","982460","26 April 2016","202.3","NON STRATA","No",1945034,"AK499205","23 April 2017"
"96 CAMPBELL STREET, ST PETERS NSW 2044","976360","15 April 2016","195.3","NON STRATA","No",1945035,"AK709038","23 April 2017"
"92 CAMPBELL STREET, ST PETERS NSW 2044","910500","16 March 2015","322.6","NON STRATA","No",1945036,"AJ428263","23 April 2017"
"88 CAMPBELL STREET, ST PETERS NSW 2044","866040","25 May 2015","168.3","NON STRATA","No",1945038,"AJ608168","23 April 2017"
"80 CAMPBELL STREET, ST PETERS NSW 2044","835020","9 July 2015","100.5","NON STRATA","No",1945041,"AJ856434","23 April 2017"
"78 CAMPBELL STREET, ST PETERS NSW 2044","966410","26 April 2016","164.4","NON STRATA","No",1945042,"AK499212","23 April 2017"
"66 CAMPBELL STREET, ST PETERS NSW 2044","1210136","14 December 2015","306","NON STRATA","No",1945043,"AK136715","23 April 2017"
"62 CAMPBELL STREET, ST PETERS NSW 2044","711925","7 October 2015","227.6","NON STRATA","No",1945045,"AJ978846","23 April 2017"
"62 CAMPBELL STREET, ST PETERS NSW 2044","350000","27 February 2014","227.6","NON STRATA","No",1945045,"AI546184","23 April 2017"
"32 CAMPBELL STREET, ST PETERS NSW 2044","1062076","14 April 2016","107.5","NON STRATA","No",1945052,"AK865976","23 April 2017"
"19 CAMPBELL STREET, ST PETERS NSW 2044","1121000","29 October 2016","215","NON STRATA","No",1945060,"AM50721","23 April 2017"
"25 CAMPBELL STREET, ST PETERS NSW 2044","1175000","21 August 2015","158.1","NON STRATA","No",1945063,"AJ896851","23 April 2017"
"67 CAMPBELL STREET, ST PETERS NSW 2044","1716000","18 November 2014","366.7","NON STRATA","No",1945072,"AJ255779","23 April 2017"
"139 CAMPBELL STREET, ST PETERS NSW 2044","1252708","15 April 2016","164.4","NON STRATA","No",1945073,"AK478983","23 April 2017"
"15/2 BURROWS S ROAD, ST PETERS NSW 2044","445000","24 January 2014","0","STRATA","No","1945095","AI332898","23 April 2017"
"8/2 BURROWS S ROAD, ST PETERS NSW 2044","1120000","19 December 2013","0","STRATA","No","1945088","AI401082","23 April 2017"
