ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"15 ALBION STREET, SURRY HILLS NSW 2010","302069949","15 November 2013","4524","NON STRATA","Yes (3)",2020680,"AI257965","23 April 2017"
"3/17 BRISBANE STREET, SURRY HILLS NSW 2010","2805000","11 November 2015","0","STRATA","Yes (2)","2021233","AK57307","23 April 2017"
"4/17 BRISBANE STREET, SURRY HILLS NSW 2010","2805000","11 November 2015","0","STRATA","Yes (2)","2021235","AK57307","23 April 2017"
"44 FOSTER STREET, SURRY HILLS NSW 2010","7500000","24 July 2016","341.5","NON STRATA","No",2022371,"AK794472","23 April 2017"
"88 CAMPBELL STREET, SURRY HILLS NSW 2010","840000","21 September 2013","50.6","NON STRATA","No",2022381,"AI118789","23 April 2017"
"84 CAMPBELL STREET, SURRY HILLS NSW 2010","765000","15 November 2012","53.9","NON STRATA","No",2022383,"AH450336","23 April 2017"
"78 CAMPBELL STREET, SURRY HILLS NSW 2010","2595000","7 December 2016","116","NON STRATA","No",2022386,"AM193509","23 April 2017"
"30 CHALMERS STREET, SURRY HILLS NSW 2010","3900000","28 March 2013","315.8","NON STRATA","No",2023876,"AH781916","23 April 2017"
"4/38 CHALMERS STREET, SURRY HILLS NSW 2010","520000","9 February 2015","0","STRATA","No","2023881","AJ359157","23 April 2017"
"29/38 CHALMERS STREET, SURRY HILLS NSW 2010","621000","11 October 2014","0","STRATA","No","2023906","AJ166677","23 April 2017"
"2/38 CHALMERS STREET, SURRY HILLS NSW 2010","480000","23 October 2013","0","STRATA","No","2023879","AI225942","23 April 2017"
"16/38 CHALMERS STREET, SURRY HILLS NSW 2010","475000","21 March 2013","0","STRATA","No","2023893","AH719759","23 April 2017"
"6/38 CHALMERS STREET, SURRY HILLS NSW 2010","420000","18 May 2012","0","STRATA","No","2023883","AH96080","23 April 2017"
