ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"11 ALBERTA STREET, SYDNEY NSW 2000","10500000","31 August 2012","172.79","NON STRATA","Yes (2)",2020674,"AH330438","23 April 2017"
"13 ALBERTA STREET, SYDNEY NSW 2000","10500000","31 August 2012","215","NON STRATA","Yes (2)",2020675,"AH330438","23 April 2017"
"17 ALBERTA STREET, SYDNEY NSW 2000","310000","5 March 2014","202.3","NON STRATA","No",2020676,"AI445218","23 April 2017"
"17 ALBERTA STREET, SYDNEY NSW 2000","320000","5 March 2014","202.3","NON STRATA","No",2020676,"AI445217","23 April 2017"
"1 ALFRED STREET, SYDNEY NSW 2000","414698933","23 January 2015","2687","NON STRATA","No",2020683,"AJ320873","23 April 2017"
"8 YORK STREET, SYDNEY NSW 2000","62500000","18 December 2012","1040","NON STRATA","No",2020834,"AH512951","23 April 2017"
"17/2 BARRACK STREET, SYDNEY NSW 2000","4350000","10 November 2016","0","STRATA","Yes (5)","2020836","AM103042","23 April 2017"
"17/2 BARRACK STREET, SYDNEY NSW 2000","4350000","10 November 2016","0","STRATA","Yes (5)","2020852","AM103042","23 April 2017"
"18/2 BARRACK STREET, SYDNEY NSW 2000","4350000","10 November 2016","0","STRATA","Yes (5)","2020853","AM103042","23 April 2017"
"19/2 BARRACK STREET, SYDNEY NSW 2000","4350000","10 November 2016","0","STRATA","Yes (5)","2020854","AM103042","23 April 2017"
"20/2 BARRACK STREET, SYDNEY NSW 2000","4350000","10 November 2016","0","STRATA","Yes (5)","2020855","AM103042","23 April 2017"
"31/2 BARRACK STREET, SYDNEY NSW 2000","791728","9 October 2015","0","STRATA","No","2020865","AK68829","23 April 2017"
"32/2 BARRACK STREET, SYDNEY NSW 2000","268271","9 October 2015","0","STRATA","No","2020866","AK68477","23 April 2017"
"15/2 BARRACK STREET, SYDNEY NSW 2000","860000","18 December 2014","0","STRATA","No","2020850","AJ751951","23 April 2017"
"25/2 BARRACK STREET, SYDNEY NSW 2000","2600000","7 November 2014","0","STRATA","Yes (4)","2020860","AJ93613","23 April 2017"
"26/2 BARRACK STREET, SYDNEY NSW 2000","2600000","7 November 2014","0","STRATA","Yes (4)","2020861","AJ93613","23 April 2017"
"27/2 BARRACK STREET, SYDNEY NSW 2000","2600000","7 November 2014","0","STRATA","Yes (4)","2020862","AJ93613","23 April 2017"
"28/2 BARRACK STREET, SYDNEY NSW 2000","2600000","7 November 2014","0","STRATA","Yes (4)","2020863","AJ93613","23 April 2017"
"29/2 BARRACK STREET, SYDNEY NSW 2000","217800","4 November 2014","0","STRATA","No","2020864","AJ153940","23 April 2017"
"34/2 BARRACK STREET, SYDNEY NSW 2000","363000","4 November 2014","0","STRATA","No","2020868","AJ153912","23 April 2017"
"4/2 BARRACK STREET, SYDNEY NSW 2000","225000","20 August 2013","0","STRATA","No","2020856","AI17700","23 April 2017"
"11/2 BARRACK STREET, SYDNEY NSW 2000","621000","29 July 2013","0","STRATA","No","2020846","AI42174","23 April 2017"
"35/2 BARRACK STREET, SYDNEY NSW 2000","980000","12 July 2013","0","STRATA","No","3722071","AI140646","23 April 2017"
"14/2 BARRACK STREET, SYDNEY NSW 2000","1110000","2 August 2012","0","STRATA","No","2020849","AH398589","23 April 2017"
"91 BATHURST STREET, SYDNEY NSW 2000","5337000","6 September 2013","185.8","NON STRATA","No",2020871,"AI309530","23 April 2017"
"115 BATHURST STREET, SYDNEY NSW 2000","113989240","26 September 2013","3969","NON STRATA","No",2020875,"AI156582","23 April 2017"
"115 BATHURST STREET, SYDNEY NSW 2000","107500000","8 March 2013","3969","NON STRATA","No",2020875,"AI47495","23 April 2017"
"125 BATHURST STREET, SYDNEY NSW 2000","6100000","15 February 2013","250.83","NON STRATA","No",2020876,"AH755379","23 April 2017"
"112 BATHURST STREET, SYDNEY NSW 2000","134618660","26 September 2016","392.24","NON STRATA","Yes (3)",2020880,"AK967015","23 April 2017"
"110 BATHURST STREET, SYDNEY NSW 2000","134618660","26 September 2016","297.2","NON STRATA","Yes (3)",2020881,"AK967015","23 April 2017"
"4 BLIGH STREET, SYDNEY NSW 2000","68000000","20 July 2015","1219.5","NON STRATA","No",2020905,"AJ748462","23 April 2017"
"4 BLIGH STREET, SYDNEY NSW 2000","53000000","22 May 2013","1219.5","NON STRATA","No",2020905,"AH839984","23 April 2017"
"11/5 BRIDGE STREET, SYDNEY NSW 2000","710000","22 March 2016","0","STRATA","No","2020946","AK491963","23 April 2017"
"9/5 BRIDGE STREET, SYDNEY NSW 2000","620000","17 March 2016","0","STRATA","No","2020944","AK387142","23 April 2017"
"2/5 BRIDGE STREET, SYDNEY NSW 2000","8510000","6 August 2015","0","STRATA","No","2020937","AJ926877","23 April 2017"
"5/5 BRIDGE STREET, SYDNEY NSW 2000","500404","5 May 2014","0","STRATA","No","2020940","AJ173178","23 April 2017"
"12/5 BRIDGE STREET, SYDNEY NSW 2000","650000","16 April 2014","0","STRATA","No","2020947","AI753370","23 April 2017"
"11/5 BRIDGE STREET, SYDNEY NSW 2000","495000","24 November 2013","0","STRATA","No","2020946","AI218197","23 April 2017"
"4/5 BRIDGE STREET, SYDNEY NSW 2000","2000000","14 October 2013","0","STRATA","No","2020939","AI105500","23 April 2017"
"2/5 BRIDGE STREET, SYDNEY NSW 2000","4100000","24 May 2013","0","STRATA","No","2020937","AH949708","23 April 2017"
"10/5 BRIDGE STREET, SYDNEY NSW 2000","786500","31 August 2012","0","STRATA","Yes (2)","2020945","AH344914","23 April 2017"
"15/5 BRIDGE STREET, SYDNEY NSW 2000","786500","31 August 2012","0","STRATA","Yes (2)","2020950","AH344914","23 April 2017"
