ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"2801/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2750000","8 September 2016","0","STRATA","Yes (2)","2026677","AK873690","23 April 2017"
"3004/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2300000","16 March 2016","0","STRATA","Yes (2)","2026688","AK478210","23 April 2017"
"3403/96 GLOUCESTER STREET, THE ROCKS NSW 2000","4300000","12 November 2015","0","STRATA","Yes (4)","2026703","AK198283","23 April 2017"
"3104/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2500000","27 May 2015","0","STRATA","Yes (2)","2026692","AJ594173","23 April 2017"
"3101/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2650000","20 March 2015","0","STRATA","Yes (4)","2026689","AJ554851","23 April 2017"
"3503/96 GLOUCESTER STREET, THE ROCKS NSW 2000","4000000","5 September 2014","0","STRATA","Yes (3)","2026707","AJ360003","23 April 2017"
"2501/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2180000","27 June 2014","0","STRATA","Yes (2)","2026665","AI996141","23 April 2017"
"3201/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2430000","1 May 2014","0","STRATA","Yes (3)","2026693","AI675420","23 April 2017"
"3501/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2900000","28 August 2013","0","STRATA","Yes (3)","2026705","AI132800","23 April 2017"
"2701/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1550000","19 July 2013","0","STRATA","Yes (2)","2026673","AH986104","23 April 2017"
"3204/96 GLOUCESTER STREET, THE ROCKS NSW 2000","800000","21 November 2012","0","STRATA","Yes (2)","2026696","AH418690","23 April 2017"
"2703/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2600000","10 July 2012","0","STRATA","Yes (3)","2026675","AH179478","23 April 2017"
"2005/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1600000","26 August 2016","0","STRATA","No","2027031","AK908866","23 April 2017"
"2306/96 GLOUCESTER STREET, THE ROCKS NSW 2000","2375000","23 August 2016","0","STRATA","Yes (2)","2027059","AK867429","23 April 2017"
"159/96 GLOUCESTER STREET, THE ROCKS NSW 2000","286000","18 August 2016","0","STRATA","No","2027075","AK818315","23 April 2017"
"152/96 GLOUCESTER STREET, THE ROCKS NSW 2000","160000","9 June 2016","0","STRATA","No","2027070","AK574252","23 April 2017"
"2102/96 GLOUCESTER STREET, THE ROCKS NSW 2000","698000","8 April 2016","0","STRATA","No","2027037","AK453670","23 April 2017"
"1606/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1250000","5 April 2016","0","STRATA","Yes (2)","2026996","AK501077","23 April 2017"
"1802/96 GLOUCESTER STREET, THE ROCKS NSW 2000","700000","17 March 2016","0","STRATA","No","2027010","AK410336","23 April 2017"
"802/96 GLOUCESTER STREET, THE ROCKS NSW 2000","700000","23 February 2016","0","STRATA","No","2026920","AK360147","23 April 2017"
"10/96 GLOUCESTER STREET, THE ROCKS NSW 2000","271500","7 December 2015","0","STRATA","No","2027079","AK77753","23 April 2017"
"164/96 GLOUCESTER STREET, THE ROCKS NSW 2000","190000","13 October 2015","0","STRATA","No","2027080","AK6061","23 April 2017"
"803/96 GLOUCESTER STREET, THE ROCKS NSW 2000","700000","12 October 2015","0","STRATA","No","2026921","AJ953012","23 April 2017"
"2007/96 GLOUCESTER STREET, THE ROCKS NSW 2000","750000","10 September 2015","0","STRATA","No","2027033","AJ990555","23 April 2017"
"2001/96 GLOUCESTER STREET, THE ROCKS NSW 2000","645000","24 August 2015","0","STRATA","No","2027027","AJ968817","23 April 2017"
"1705/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1230000","9 April 2015","0","STRATA","No","2027004","AJ514165","23 April 2017"
"1002/96 GLOUCESTER STREET, THE ROCKS NSW 2000","700000","24 March 2015","0","STRATA","No","2026938","AJ481719","23 April 2017"
"1406/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1690000","18 March 2015","0","STRATA","Yes (2)","2026978","AJ343904","23 April 2017"
"2105/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1600000","9 March 2015","0","STRATA","No","2027040","AJ543204","23 April 2017"
"1307/96 GLOUCESTER STREET, THE ROCKS NSW 2000","725000","12 December 2014","0","STRATA","No","2026970","AJ300123","23 April 2017"
"153/96 GLOUCESTER STREET, THE ROCKS NSW 2000","170000","22 October 2014","0","STRATA","No","2027071","AJ100368","23 April 2017"
"2209/96 GLOUCESTER STREET, THE ROCKS NSW 2000","595000","17 September 2014","0","STRATA","No","2027053","AI993117","23 April 2017"
"161/96 GLOUCESTER STREET, THE ROCKS NSW 2000","495000","15 September 2014","0","STRATA","No","2027077","AI927514","23 April 2017"
"1607/96 GLOUCESTER STREET, THE ROCKS NSW 2000","690000","1 September 2014","0","STRATA","No","2026997","AI968340","23 April 2017"
"1209/96 GLOUCESTER STREET, THE ROCKS NSW 2000","570500","8 July 2014","0","STRATA","No","2026963","AI836880","23 April 2017"
"807/96 GLOUCESTER STREET, THE ROCKS NSW 2000","657500","25 June 2014","0","STRATA","No","2026925","AI811444","23 April 2017"
"151/96 GLOUCESTER STREET, THE ROCKS NSW 2000","185000","19 June 2014","0","STRATA","No","2027069","AI780859","23 April 2017"
"2002/96 GLOUCESTER STREET, THE ROCKS NSW 2000","635000","10 June 2014","0","STRATA","No","2027028","AI709750","23 April 2017"
"2204/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1835000","24 January 2014","0","STRATA","Yes (2)","2027048","AI446565","23 April 2017"
"2109/96 GLOUCESTER STREET, THE ROCKS NSW 2000","550000","24 October 2013","0","STRATA","No","2027044","AI200716","23 April 2017"
"2003/96 GLOUCESTER STREET, THE ROCKS NSW 2000","637000","10 October 2013","0","STRATA","No","2027029","AI241185","23 April 2017"
"2001/96 GLOUCESTER STREET, THE ROCKS NSW 2000","580000","2 October 2013","0","STRATA","No","2027027","AI177016","23 April 2017"
"906/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1588888","13 August 2013","0","STRATA","Yes (2)","2026933","AI26000","23 April 2017"
"1508/96 GLOUCESTER STREET, THE ROCKS NSW 2000","22110","20 June 2013","0","STRATA","No","2026989","AH829461","23 April 2017"
"1404/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1470000","22 May 2013","0","STRATA","Yes (2)","2026976","AH926594","23 April 2017"
"1907/96 GLOUCESTER STREET, THE ROCKS NSW 2000","596000","20 May 2013","0","STRATA","No","2027024","AH819980","23 April 2017"
"1908/96 GLOUCESTER STREET, THE ROCKS NSW 2000","590000","15 May 2013","0","STRATA","No","2027025","AH822295","23 April 2017"
"2203/96 GLOUCESTER STREET, THE ROCKS NSW 2000","585000","14 March 2013","0","STRATA","No","2027047","AH756648","23 April 2017"
"807/96 GLOUCESTER STREET, THE ROCKS NSW 2000","545000","12 February 2013","0","STRATA","No","2026925","AH671923","23 April 2017"
"902/96 GLOUCESTER STREET, THE ROCKS NSW 2000","525000","11 February 2013","0","STRATA","No","2026929","AH649252","23 April 2017"
"1104/96 GLOUCESTER STREET, THE ROCKS NSW 2000","1325000","20 November 2012","0","STRATA","Yes (2)","2026949","AH517564","23 April 2017"
"153/96 GLOUCESTER STREET, THE ROCKS NSW 2000","192000","26 September 2012","0","STRATA","No","2027071","AH454352","23 April 2017"
"2307/96 GLOUCESTER STREET, THE ROCKS NSW 2000","615000","24 August 2012","0","STRATA","No","2027060","AH218442","23 April 2017"
"1303/96 GLOUCESTER STREET, THE ROCKS NSW 2000","550000","27 July 2012","0","STRATA","No","2026966","AH225292","23 April 2017"
"2107/96 GLOUCESTER STREET, THE ROCKS NSW 2000","605000","18 June 2012","0","STRATA","No","2027042","AH161862","23 April 2017"
"12/111 HARRINGTON STREET, THE ROCKS NSW 2000","305000","2 November 2016","0","STRATA","No","2027094","AK945259","23 April 2017"
"204/111 HARRINGTON STREET, THE ROCKS NSW 2000","70200","31 October 2015","0","STRATA","No","2027092","AK444807","23 April 2017"
