ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"25 ADA PLACE, ULTIMO NSW 2007","1360000","21 January 2016","68.2","NON STRATA","No",2020635,"AK367483","23 April 2017"
"33 ADA PLACE, ULTIMO NSW 2007","840000","17 December 2012","73.7","NON STRATA","No",2020639,"AH530423","23 April 2017"
"36 ADA PLACE, ULTIMO NSW 2007","938000","9 July 2016","36.6","NON STRATA","No",2020651,"AK751788","23 April 2017"
"5/8 ADA PLACE, ULTIMO NSW 2007","690000","7 December 2016","0","STRATA","No","2020664","AM108024","23 April 2017"
"10/8 ADA PLACE, ULTIMO NSW 2007","645000","5 August 2016","0","STRATA","No","2020669","AK749626","23 April 2017"
"9/8 ADA PLACE, ULTIMO NSW 2007","628500","21 March 2015","0","STRATA","No","2020668","AJ494777","23 April 2017"
"1/8 ADA PLACE, ULTIMO NSW 2007","490000","24 May 2013","0","STRATA","No","2020660","AH884197","23 April 2017"
"9/8 ADA PLACE, ULTIMO NSW 2007","430000","29 June 2012","0","STRATA","No","2020668","AH190399","23 April 2017"
"348 BULWARA ROAD, ULTIMO NSW 2007","1250000","4 December 2015","110.9","NON STRATA","No",2021262,"AK97387","23 April 2017"
"58/344 BULWARA ROAD, ULTIMO NSW 2007","890000","10 September 2016","0","STRATA","No","2021320","AK873464","23 April 2017"
"42/344 BULWARA ROAD, ULTIMO NSW 2007","768000","12 December 2015","0","STRATA","No","2021304","AK174641","23 April 2017"
"6/344 BULWARA ROAD, ULTIMO NSW 2007","750000","7 September 2015","0","STRATA","No","2021268","AJ927743","23 April 2017"
"41/344 BULWARA ROAD, ULTIMO NSW 2007","635000","4 September 2015","0","STRATA","No","2021303","AJ916368","23 April 2017"
"86/344 BULWARA ROAD, ULTIMO NSW 2007","590000","22 April 2015","0","STRATA","No","2021348","AJ661441","23 April 2017"
"3/344 BULWARA ROAD, ULTIMO NSW 2007","702000","6 December 2014","0","STRATA","No","2021265","AJ216252","23 April 2017"
"68/344 BULWARA ROAD, ULTIMO NSW 2007","640000","6 November 2014","0","STRATA","No","2021330","AJ128334","23 April 2017"
"27/344 BULWARA ROAD, ULTIMO NSW 2007","645000","24 September 2014","0","STRATA","No","2021289","AJ46064","23 April 2017"
"38/344 BULWARA ROAD, ULTIMO NSW 2007","613000","9 April 2014","0","STRATA","No","2021300","AI610379","23 April 2017"
"94/344 BULWARA ROAD, ULTIMO NSW 2007","677000","24 March 2014","0","STRATA","No","2021356","AI772589","23 April 2017"
"13/344 BULWARA ROAD, ULTIMO NSW 2007","620000","31 January 2014","0","STRATA","No","2021275","AI456319","23 April 2017"
"48/344 BULWARA ROAD, ULTIMO NSW 2007","560000","18 November 2013","0","STRATA","No","2021310","AI398788","23 April 2017"
"98/344 BULWARA ROAD, ULTIMO NSW 2007","540000","19 September 2013","0","STRATA","No","2021360","AI129785","23 April 2017"
