ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"8 AMELIA STREET, WATERLOO NSW 2017","4500000","21 October 2013","1056","NON STRATA","No",2106404,"AI375546","23 April 2017"
"5 AMELIA STREET, WATERLOO NSW 2017","7500000","11 September 2014","","NON STRATA","Yes (4)",2106409,"AJ598498","23 April 2017"
"3 AMELIA STREET, WATERLOO NSW 2017","7500000","11 September 2014","","NON STRATA","Yes (4)",2106410,"AJ598498","23 April 2017"
"1 AMELIA STREET, WATERLOO NSW 2017","7500000","11 September 2014","358.1","NON STRATA","Yes (4)",2106411,"AJ598498","23 April 2017"
"304/1 BOTANY ROAD, WATERLOO NSW 2017","1180000","28 October 2016","0","STRATA","No","2936870","AK981763","23 April 2017"
"406/76 COPE STREET, WATERLOO NSW 2017","937500","8 October 2016","0","STRATA","No","2936887","AK917495","23 April 2017"
"109/76 COPE STREET, WATERLOO NSW 2017","935000","14 September 2016","0","STRATA","No","2936877","AK884727","23 April 2017"
"204/1 BOTANY ROAD, WATERLOO NSW 2017","775000","20 May 2016","0","STRATA","No","2936865","AK605212","23 April 2017"
"102/1 BOTANY ROAD, WATERLOO NSW 2017","515000","17 March 2016","0","STRATA","No","2936891","AK383164","23 April 2017"
"407/76 COPE STREET, WATERLOO NSW 2017","790000","16 November 2015","0","STRATA","No","2936888","AK184020","23 April 2017"
"105/1 BOTANY ROAD, WATERLOO NSW 2017","640000","1 April 2015","0","STRATA","No","2936894","AJ500633","23 April 2017"
"303/1 BOTANY ROAD, WATERLOO NSW 2017","490000","25 October 2014","0","STRATA","No","2936869","AJ121493","23 April 2017"
"1/1 BOTANY ROAD, WATERLOO NSW 2017","235000","3 October 2013","0","STRATA","No","2936861","AI173991","23 April 2017"
"305/1 BOTANY ROAD, WATERLOO NSW 2017","845000","16 September 2013","0","STRATA","No","2936871","AI131540","23 April 2017"
"108/1 BOTANY ROAD, WATERLOO NSW 2017","644000","18 October 2012","0","STRATA","No","2936876","AH413270","23 April 2017"
"109/76 COPE STREET, WATERLOO NSW 2017","624000","22 September 2012","0","STRATA","No","2936877","AH348163","23 April 2017"
