ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"3/102 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","582500","29 August 2014","0","STRATA","No","2023833","AI938179","23 April 2017"
"2/100 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","260000","28 June 2013","0","STRATA","No","2023836","AH978259","23 April 2017"
"4/94 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","446000","21 February 2017","0","STRATA","No","2023856","AM312495","23 April 2017"
"4/94 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","270000","8 February 2013","0","STRATA","No","2023856","AH632894","23 April 2017"
"3/90 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","540000","19 July 2013","0","STRATA","No","2023867","AI2921","23 April 2017"
"1/84 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","1350000","31 July 2015","0","STRATA","No","2023873","AJ980643","23 April 2017"
"1/84 CATHEDRAL STREET, WOOLLOOMOOLOO NSW 2011","831250","24 June 2014","0","STRATA","No","2023873","AI866424","23 April 2017"
"17/6A COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011","400000","26 July 2016","0","STRATA","No","2024912","AK734889","23 April 2017"
"21/6A COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011","3950000","15 April 2016","0","STRATA","Yes (4)","2024916","AK515387","23 April 2017"
"2/6A COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011","750000","13 November 2015","0","STRATA","No","2024897","AK98617","23 April 2017"
"32/6A COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011","340000","16 October 2015","0","STRATA","No","2024927","AK24749","23 April 2017"
"14/6A COWPER WHARF ROADWAY, WOOLLOOMOOLOO NSW 2011","500001","21 September 2015","0","STRATA","Yes (3)","2024909","AK11936","23 April 2017"
