ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"301 BOTANY ROAD, ZETLAND NSW 2017","42500000","12 March 2014","5469","NON STRATA","No",2109505,"AI696173","30 April 2017"
"501 BOTANY ROAD, ZETLAND NSW 2017","9125000","13 May 2013","1220","NON STRATA","Yes (2)",2109509,"AH868429","30 April 2017"
"509 BOTANY ROAD, ZETLAND NSW 2017","9125000","13 May 2013","844.9","NON STRATA","Yes (2)",2109511,"AH868429","30 April 2017"
"511 BOTANY ROAD, ZETLAND NSW 2017","15930000","13 November 2013","9932","NON STRATA","No",2109512,"AI259564","30 April 2017"
"517 BOTANY ROAD, ZETLAND NSW 2017","2150000","9 May 2014","246.6","NON STRATA","No",2109513,"AJ13900","30 April 2017"
"525 BOTANY ROAD, ZETLAND NSW 2017","6500000","28 May 2015","400","NON STRATA","Yes (2)",2109515,"AJ861142","30 April 2017"
"920 BOURKE STREET, ZETLAND NSW 2017","412500","7 January 2014","240.2","NON STRATA","No",2110812,"AI391875","30 April 2017"
"908 BOURKE STREET, ZETLAND NSW 2017","1000000","7 November 2014","221.3","NON STRATA","No",2110818,"AJ137796","30 April 2017"
"12/888 BOURKE STREET, ZETLAND NSW 2017","2750000","1 February 2016","0","STRATA","No","2110849","AM150726","30 April 2017"
"8/888 BOURKE STREET, ZETLAND NSW 2017","740000","2 July 2015","0","STRATA","No","2110845","AJ643916","30 April 2017"
"15/888 BOURKE STREET, ZETLAND NSW 2017","990000","18 March 2015","0","STRATA","No","2110852","AJ388813","30 April 2017"
"6/888 BOURKE STREET, ZETLAND NSW 2017","686000","27 August 2013","0","STRATA","No","2110843","AI108280","30 April 2017"
"11/888 BOURKE STREET, ZETLAND NSW 2017","475000","25 July 2013","0","STRATA","No","2110848","AI488703","30 April 2017"
"11/888 BOURKE STREET, ZETLAND NSW 2017","950000","25 July 2013","0","STRATA","No","2110848","AI488704","30 April 2017"
"11/888 BOURKE STREET, ZETLAND NSW 2017","950000","24 July 2013","0","STRATA","No","2110848","AI488705","30 April 2017"
"11/888 BOURKE STREET, ZETLAND NSW 2017","950000","24 July 2013","0","STRATA","No","2110848","AI488706","30 April 2017"
"18/888 BOURKE STREET, ZETLAND NSW 2017","279500","18 July 2013","0","STRATA","No","2110855","AH931776","30 April 2017"
"886 ELIZABETH STREET, ZETLAND NSW 2017","1000000","6 March 2015","158.1","NON STRATA","No",2122317,"AJ435930","30 April 2017"
"892 ELIZABETH STREET, ZETLAND NSW 2017","1510000","22 October 2016","183.3","NON STRATA","No",2122320,"AM26210","30 April 2017"
"900 ELIZABETH STREET, ZETLAND NSW 2017","745000","27 February 2013","145.4","NON STRATA","No",2122326,"AH646842","30 April 2017"
"902 ELIZABETH STREET, ZETLAND NSW 2017","440000","26 November 2012","139.1","NON STRATA","No",2122327,"AH437768","30 April 2017"
"906 ELIZABETH STREET, ZETLAND NSW 2017","1620000","16 May 2013","240.3","NON STRATA","No",2122329,"AH885211","30 April 2017"
"914 ELIZABETH STREET, ZETLAND NSW 2017","1620000","15 October 2015","94.4","NON STRATA","No",2122333,"AK106140","30 April 2017"
"926 ELIZABETH STREET, ZETLAND NSW 2017","1350000","4 April 2016","152.8","NON STRATA","No",2122340,"AK422574","30 April 2017"
"934 ELIZABETH STREET, ZETLAND NSW 2017","2100000","19 March 2016","306.6","NON STRATA","No",2122344,"AK427090","30 April 2017"
"952 ELIZABETH STREET, ZETLAND NSW 2017","968000","23 August 2013","114.46","NON STRATA","No",2122352,"AI80305","30 April 2017"
"962 ELIZABETH STREET, ZETLAND NSW 2017","665000","11 October 2012","120.1","NON STRATA","No",2122357,"AH400243","30 April 2017"
"797 ELIZABETH STREET, ZETLAND NSW 2017","3100000","12 November 2014","388.3","NON STRATA","No",2122369,"AJ113396","30 April 2017"
"773 ELIZABETH STREET, ZETLAND NSW 2017","1200000","8 December 2012","157.28","NON STRATA","No",2122379,"AH529755","30 April 2017"
"769 ELIZABETH STREET, ZETLAND NSW 2017","1410000","17 March 2016","152","NON STRATA","No",2122383,"AK536179","30 April 2017"
"767 ELIZABETH STREET, ZETLAND NSW 2017","1455000","9 May 2016","154.4","NON STRATA","No",2122384,"AK609363","30 April 2017"
"763 ELIZABETH STREET, ZETLAND NSW 2017","1130000","11 July 2015","155.2","NON STRATA","No",2122386,"AJ771563","30 April 2017"
"1/757 ELIZABETH STREET, ZETLAND NSW 2017","2250000","4 July 2016","0","STRATA","No","2122388","AK969509","30 April 2017"
"2/757 ELIZABETH STREET, ZETLAND NSW 2017","1275000","4 July 2016","0","STRATA","No","2122389","AK969527","30 April 2017"
"3/757 ELIZABETH STREET, ZETLAND NSW 2017","1275000","4 July 2016","0","STRATA","No","2122390","AK969549","30 April 2017"
"4/757 ELIZABETH STREET, ZETLAND NSW 2017","1275000","4 July 2016","0","STRATA","No","2122391","AK969588","30 April 2017"
"5/757 ELIZABETH STREET, ZETLAND NSW 2017","1275000","4 July 2016","0","STRATA","No","2122392","AK969600","30 April 2017"
"6/757 ELIZABETH STREET, ZETLAND NSW 2017","150000","4 July 2016","0","STRATA","No","2122393","AK969612","30 April 2017"
"751 ELIZABETH STREET, ZETLAND NSW 2017","1825000","29 June 2016","153.31","NON STRATA","No",2122396,"AK769938","30 April 2017"
"749 ELIZABETH STREET, ZETLAND NSW 2017","1001000","22 September 2012","154.9","NON STRATA","No",2122397,"AH416902","30 April 2017"
"747A ELIZABETH STREET, ZETLAND NSW 2017","1850000","21 April 2016","152.8","NON STRATA","No",2122398,"AK547249","30 April 2017"
"745 ELIZABETH STREET, ZETLAND NSW 2017","1288800","17 November 2016","155.2","NON STRATA","No",2122400,"AM143261","30 April 2017"
"2 EPSOM ROAD, ZETLAND NSW 2017","1840000","20 November 2013","230.4","NON STRATA","No",2123652,"AI252048","30 April 2017"
"4 EPSOM ROAD, ZETLAND NSW 2017","1450000","25 February 2017","149.3","NON STRATA","No",2123653,"AM304953","30 April 2017"
"4 EPSOM ROAD, ZETLAND NSW 2017","905000","3 September 2013","149.3","NON STRATA","No",2123653,"AI111278","30 April 2017"
"15/10 EPSOM ROAD, ZETLAND NSW 2017","601500","13 July 2016","0","STRATA","No","2123671","AK700308","30 April 2017"
"13/10 EPSOM ROAD, ZETLAND NSW 2017","697000","28 February 2015","0","STRATA","No","2123669","AJ385231","30 April 2017"
"3/10 EPSOM ROAD, ZETLAND NSW 2017","585000","14 November 2014","0","STRATA","No","2123659","AJ132500","30 April 2017"
"1/10 EPSOM ROAD, ZETLAND NSW 2017","530000","1 October 2014","0","STRATA","No","2123657","AJ53188","30 April 2017"
"4/10 EPSOM ROAD, ZETLAND NSW 2017","405000","9 September 2013","0","STRATA","No","2123660","AI142714","30 April 2017"
"1/10 EPSOM ROAD, ZETLAND NSW 2017","465000","19 February 2013","0","STRATA","No","2123657","AH667054","30 April 2017"
"7/10 EPSOM ROAD, ZETLAND NSW 2017","363000","8 November 2012","0","STRATA","No","2123663","AH428706","30 April 2017"
"13/10 EPSOM ROAD, ZETLAND NSW 2017","490000","18 June 2012","0","STRATA","No","2123669","AH141166","30 April 2017"
"22 EPSOM ROAD, ZETLAND NSW 2017","250000","17 August 2012","151.8","NON STRATA","No",2123674,"AH231556","30 April 2017"
"38 EPSOM ROAD, ZETLAND NSW 2017","882000","11 October 2014","148.74","NON STRATA","No",2123680,"AJ120814","30 April 2017"
"84 EPSOM ROAD, ZETLAND NSW 2017","47500000","13 March 2014","10330","NON STRATA","No",2123691,"AI861965","30 April 2017"
"132 EPSOM ROAD, ZETLAND NSW 2017","28750000","25 January 2013","8024","NON STRATA","Yes (3)",2123695,"AI456225","30 April 2017"
"24 HANSARD STREET, ZETLAND NSW 2017","1750000","9 December 2013","297.2","NON STRATA","No",2127946,"AI394617","30 April 2017"
"10 HANSARD STREET, ZETLAND NSW 2017","1030000","27 September 2014","145.4","NON STRATA","No",2127954,"AJ61781","30 April 2017"
"4 HANSARD STREET, ZETLAND NSW 2017","755000","27 August 2012","148.74","NON STRATA","No",2127957,"AH301093","30 April 2017"
"5 HANSARD STREET, ZETLAND NSW 2017","985000","29 November 2012","143","NON STRATA","No",2127961,"AH495182","30 April 2017"
"11 HANSARD STREET, ZETLAND NSW 2017","1815500","12 November 2016","297.2","NON STRATA","No",2127965,"AM132467","30 April 2017"
"17 HANSARD STREET, ZETLAND NSW 2017","1300000","4 June 2013","148.74","NON STRATA","No",2127967,"AH927499","30 April 2017"
"21 HANSARD STREET, ZETLAND NSW 2017","1450000","21 September 2015","145.4","NON STRATA","No",2127969,"AJ998840","30 April 2017"
"27 HANSARD STREET, ZETLAND NSW 2017","1260000","18 April 2013","148.7","NON STRATA","No",2127972,"AH792703","30 April 2017"
"31 HANSARD STREET, ZETLAND NSW 2017","1730000","8 September 2016","148.74","NON STRATA","No",2127974,"AK835442","30 April 2017"
"33 HANSARD STREET, ZETLAND NSW 2017","711000","10 November 2012","148.74","NON STRATA","No",2127975,"AH455472","30 April 2017"
"35 HANSARD STREET, ZETLAND NSW 2017","782000","11 April 2013","148.74","NON STRATA","No",2127976,"AH841109","30 April 2017"
"39 HANSARD STREET, ZETLAND NSW 2017","842500","14 May 2012","148.74","NON STRATA","No",2127978,"AH175700","30 April 2017"
"7 MERTON STREET, ZETLAND NSW 2017","1504000","25 July 2015","151.8","NON STRATA","No",2134952,"AJ834610","30 April 2017"
"13 MERTON STREET, ZETLAND NSW 2017","1500000","2 December 2016","170.8","NON STRATA","No",2134955,"AM102130","30 April 2017"
"92 PORTMAN STREET, ZETLAND NSW 2017","2025000","24 August 2015","153.9","NON STRATA","No",2140507,"AJ965193","30 April 2017"
"90 PORTMAN STREET, ZETLAND NSW 2017","1000000","22 November 2014","159.6","NON STRATA","No",2140508,"AJ167477","30 April 2017"
"90 PORTMAN STREET, ZETLAND NSW 2017","810000","15 September 2012","159.6","NON STRATA","No",2140508,"AH377991","30 April 2017"
"84 PORTMAN STREET, ZETLAND NSW 2017","2200000","28 June 2013","305","NON STRATA","Yes (2)",2140511,"AI123386","30 April 2017"
"82 PORTMAN STREET, ZETLAND NSW 2017","2200000","28 June 2013","265.6","NON STRATA","Yes (2)",2140512,"AI123386","30 April 2017"
"78 PORTMAN STREET, ZETLAND NSW 2017","1325000","3 September 2014","153.31","NON STRATA","No",2140514,"AI954730","30 April 2017"
"66 PORTMAN STREET, ZETLAND NSW 2017","330000","25 March 2015","153.31","NON STRATA","No",2140520,"AJ377779","30 April 2017"
"58 PORTMAN STREET, ZETLAND NSW 2017","800000","4 January 2013","151.8","NON STRATA","No",2140524,"AH571247","30 April 2017"
"54 PORTMAN STREET, ZETLAND NSW 2017","1220000","10 April 2014","306.6","NON STRATA","No",2140526,"AI598780","30 April 2017"
"38 PORTMAN STREET, ZETLAND NSW 2017","976000","22 June 2013","151.8","NON STRATA","No",2140533,"AH930256","30 April 2017"
"28 PORTMAN STREET, ZETLAND NSW 2017","900000","11 May 2013","153.3","NON STRATA","No",2140537,"AI59964","30 April 2017"
"24 PORTMAN STREET, ZETLAND NSW 2017","1490000","4 July 2015","145.4","NON STRATA","No",2140539,"AJ729804","30 April 2017"
"20 PORTMAN STREET, ZETLAND NSW 2017","950000","6 September 2012","152.8","NON STRATA","No",2140541,"AH333434","30 April 2017"
"18 PORTMAN STREET, ZETLAND NSW 2017","575000","18 August 2015","152.6","NON STRATA","No",2140542,"AJ764290","30 April 2017"
"4 PORTMAN STREET, ZETLAND NSW 2017","800000","22 June 2013","112.5","NON STRATA","No",2140549,"AH951408","30 April 2017"
"2 PORTMAN STREET, ZETLAND NSW 2017","1400000","28 November 2015","119.7","NON STRATA","No",2140550,"AK211642","30 April 2017"
"1 PORTMAN STREET, ZETLAND NSW 2017","812000","30 May 2012","153.3","NON STRATA","No",2140551,"AH189843","30 April 2017"
"3 PORTMAN STREET, ZETLAND NSW 2017","1300000","21 March 2014","153.31","NON STRATA","No",2140552,"AI594915","30 April 2017"
"3 PORTMAN STREET, ZETLAND NSW 2017","652000","5 May 2012","153.31","NON STRATA","No",2140552,"AH148478","30 April 2017"
"7 PORTMAN STREET, ZETLAND NSW 2017","861500","27 September 2013","151.8","NON STRATA","No",2140554,"AI159749","30 April 2017"
"9 PORTMAN STREET, ZETLAND NSW 2017","940000","17 May 2013","152.6","NON STRATA","No",2140555,"AH912962","30 April 2017"
"11 PORTMAN STREET, ZETLAND NSW 2017","1600000","23 May 2015","153.3","NON STRATA","No",2140556,"AJ640691","30 April 2017"
"13 PORTMAN STREET, ZETLAND NSW 2017","745000","24 August 2012","113.8","NON STRATA","No",2140557,"AH297410","30 April 2017"
"17 PORTMAN STREET, ZETLAND NSW 2017","891000","22 March 2014","107.5","NON STRATA","No",2140559,"AI620579","30 April 2017"
"21 PORTMAN STREET, ZETLAND NSW 2017","1100000","30 April 2014","153.31","NON STRATA","No",2140561,"AI647283","30 April 2017"
"33 PORTMAN STREET, ZETLAND NSW 2017","1020000","6 February 2013","153","NON STRATA","No",2140566,"AH807072","30 April 2017"
"57 PORTMAN STREET, ZETLAND NSW 2017","1222000","1 March 2014","156.1","NON STRATA","No",2140578,"AI542300","30 April 2017"
"5 LINK ROAD, ZETLAND NSW 2017","28750000","25 January 2013","2187.8","NON STRATA","Yes (3)",2146171,"AI456225","30 April 2017"
"947 SOUTH DOWLING STREET, ZETLAND NSW 2017","28750000","25 January 2013","1157","NON STRATA","Yes (3)",2146172,"AI456225","30 April 2017"
"3 TILFORD STREET, ZETLAND NSW 2017","980000","3 March 2014","153.31","NON STRATA","No",2147535,"AI650136","30 April 2017"
"7 TILFORD STREET, ZETLAND NSW 2017","1630000","20 May 2015","153.31","NON STRATA","No",2147537,"AJ625715","30 April 2017"
"29 TILFORD STREET, ZETLAND NSW 2017","1280000","11 August 2012","154.9","NON STRATA","No",2147549,"AH345929","30 April 2017"
"5/13 GRANDSTAND PARADE, ZETLAND NSW 2017","717000","31 August 2016","0","STRATA","Yes (2)","2936687","AK857308","30 April 2017"
"5/13 GRANDSTAND PARADE, ZETLAND NSW 2017","717000","31 August 2016","0","STRATA","Yes (2)","2936730","AK857308","30 April 2017"
"13/106 JOYNTON AVENUE, ZETLAND NSW 2017","1080000","26 August 2016","0","STRATA","No","2936684","AK827575","30 April 2017"
"3/106 JOYNTON AVENUE, ZETLAND NSW 2017","1080000","8 July 2016","0","STRATA","No","2936685","AK782942","30 April 2017"
"7/1 LEYLAND GROVE, ZETLAND NSW 2017","1200000","5 July 2016","0","STRATA","No","2936668","AK647330","30 April 2017"
"15/106 JOYNTON AVENUE, ZETLAND NSW 2017","830000","13 April 2016","0","STRATA","No","2936682","AK474893","30 April 2017"
"27/106 JOYNTON AVENUE, ZETLAND NSW 2017","705000","13 April 2016","0","STRATA","Yes (2)","2936697","AK484126","30 April 2017"
"27/106 JOYNTON AVENUE, ZETLAND NSW 2017","705000","13 April 2016","0","STRATA","Yes (2)","2936716","AK484126","30 April 2017"
"22/106 JOYNTON AVENUE, ZETLAND NSW 2017","965000","24 November 2015","0","STRATA","No","2936702","AK136826","30 April 2017"
"4/13 GRANDSTAND PARADE, ZETLAND NSW 2017","695000","16 October 2015","0","STRATA","Yes (2)","2936676","AK3676","30 April 2017"
