Alexandria,2015
Annandale,2038
Barangaroo,2000
Beaconsfield,2015
Camperdown,2050
Centennial Park,2021
Chippendale,2008
Darlinghurst,2010
Darlington,2008
Dawes Point,2000
Elizabeth Bay,2011
Erskineville,2043
Eveleigh,2015
Forest Lodge,2037
Glebe,2037
Haymarket,2000
Millers Point,2000
Moore Park,2021
Newtown,2042
Paddington,2021
Potts Point,2011
Pyrmont,2009
Redfern,2016
Rosebery,2018
Rushcutters Bay,2011
St Peters,2044
Surry Hills,2010
Sydney,2000
The Rocks,2000
Ultimo,2007
Waterloo,2017
Woolloomooloo,2011
Zetland,2017
